JOURNAL,YEAR,VOLUME,ISSUE,editor_id,FIRST_NAME,MIDDLE_NAME,LAST_NAME,NAME,TITLE.x,CATEGORY,INST,UNIT,CITY,STATE,COUNTRY,geo.code
JTE,1985,1,1,1588,Jose,I,Furtado,Jose I Furtado,SE,SE,,,,,UK,GBR
JTE,1985,1,1,2380,Madhav,,Gadgil,Madhav Gadgil,SE,SE,,,,,India,IND
JTE,1985,1,1,735,Dan,H,Janzen,Dan H Janzen,SE,SE,,,,,USA,USA
JTE,1985,1,1,1667,Jiro,,Kikkawa,Jiro Kikkawa,SE,SE,,,,,Australia,AUS
JTE,1985,1,1,146,Adrian,G,Marshall,Adrian G Marshall,EIC,EIC,,,,,UK,GBR
JTE,1985,1,1,1001,Ernesto,,Medina,Ernesto Medina,SE,SE,,,,,Venezuela,VEN
JTE,1985,1,1,3617,Thomas,R,Odhiambo,Thomas R Odhiambo,SE,SE,,,,,Kenya,KEN
JTE,1985,1,1,807,D,UU,Okali,D UU Okali,SE,SE,,,,,Nigeria,NGA
JTE,1985,1,1,3459,Sanga,,Sabhasri,Sanga Sabhasri,SE,SE,,,,,Thailand,THA
JTE,1985,1,1,2575,Michael,D,Swaine,Michael D Swaine,AE,AE,,,,,UK,GBR
JTE,1985,1,1,2604,Marinus,JA,Werger,Marinus JA Werger,SE,SE,,,,,Netherlands,NLD
JTE,1986,2,1,1588,J,I,Furtado,J I Furtado,Editorial.Board,SE,,,,,UK,GBR
JTE,1986,2,1,2380,M,,Gadgil,M Gadgil,Editorial.Board,SE,,,,,India,IND
JTE,1986,2,1,735,D,H,Janzen,D H Janzen,Editorial.Board,SE,,,,,USA,USA
JTE,1986,2,1,1667,J,,Kikkawa,J Kikkawa,Editorial.Board,SE,,,,,Australia,AUS
JTE,1986,2,1,145,Adrian,Green,Marshal,Adrian Green Marshal,Editor,EIC,,,,,UK,GBR
JTE,1986,2,1,1001,E,,Medina,E Medina,Editorial.Board,SE,,,,,Venezuela,VEN
JTE,1986,2,1,3617,T,R,Odhiambo,T R Odhiambo,Editorial.Board,SE,,,,,Kenya,KEN
JTE,1986,2,1,807,D,UU,Okali,D UU Okali,Editorial.Board,SE,,,,,Nigeria,NGA
JTE,1986,2,1,3459,Sanga,,Sabhasri,Sanga Sabhasri,Editorial.Board,SE,,,,,Thailand,THA
JTE,1986,2,1,2575,M,D,Swaine,M D Swaine,Deputy.Editor,AE,,,,,UK,GBR
JTE,1986,2,1,2604,M,JA,Werger,M JA Werger,Editorial.Board,SE,,,,,Netherlands,NLD
JTE,1987,3,1,1588,J,I,Furtado,J I Furtado,Editorial.Board,SE,,,,,UK,GBR
JTE,1987,3,1,2380,M,,Gadgil,M Gadgil,Editorial.Board,SE,,,,,India,IND
JTE,1987,3,1,735,D,H,Janzen,D H Janzen,Editorial.Board,SE,University of Pennsylvania,,,,USA,USA
JTE,1987,3,1,1667,J,,Kikkawa,J Kikkawa,Editorial.Board,SE,,,,,Australia,AUS
JTE,1987,3,1,146,Adrian,,Marshall,Adrian Marshall,Editor,EIC,,,,,UK,GBR
JTE,1987,3,1,1001,E,,Medina,E Medina,Editorial.Board,SE,,,,,Venezuela,VEN
JTE,1987,3,1,807,D,UU,Okali,D UU Okali,Editorial.Board,SE,University of Ibadan,,,,Nigeria,NGA
JTE,1987,3,1,3459,Sanga,,Sabhasri,Sanga Sabhasri,Editorial.Board,SE,,,,,Thailand,THA
JTE,1987,3,1,2575,M,D,Swaine,M D Swaine,Deputy.Editor,AE,,,,,UK,GBR
JTE,1987,3,1,2604,M,JA,Werger,M JA Werger,Editorial.Board,SE,University of Utrecht,,,,Netherlands,NLD
