JOURNAL,YEAR,VOLUME,ISSUE,editor_id,FIRST_NAME,MIDDLE_NAME,LAST_NAME,NAME,TITLE.x,CATEGORY,INST,UNIT,CITY,STATE,COUNTRY,geo.code
LECO,1987,1,1,3060,R,TT,Forman,R TT Forman,Editorial.Board,SE,,,,,USA,USA
LECO,1987,1,1,2387,M,,Godron,M Godron,Editorial.Board,SE,,,,,France,FRA
LECO,1987,1,1,1072,Frank,B,Golley,Frank B Golley,EIC,EIC,,,,,USA,USA
LECO,1987,1,1,1192,G,,Haase,G Haase,Editorial.Board,SE,,,,,Germany,DEU
LECO,1987,1,1,3744,W,,Haber,W Haber,Editorial.Board,SE,,,,,Germany,DEU
LECO,1987,1,1,3392,S,A,Levin,S A Levin,Editorial.Board,SE,,,,,USA,USA
LECO,1987,1,1,1230,G,,Merriam,G Merriam,Editorial.Board,SE,,,,,Canada,CAN
LECO,1987,1,1,3846,Z,,Naveh,Z Naveh,Editorial.Board,SE,,,,,Israel,ISR
LECO,1987,1,1,2495,M,,Numata,M Numata,Editorial.Board,SE,,,,,Japan,JPN
LECO,1987,1,1,177,A,F,Ramos,A F Ramos,Editorial.Board,SE,,,,,Spain,ESP
LECO,1987,1,1,2907,P,Green,Risser,P Green Risser,Editorial.Board,SE,,,,,USA,USA
LECO,1987,1,1,2546,M,,Ruzicka,M Ruzicka,Editorial.Board,SE,,,,,Slovakia,SVK
LECO,1987,1,1,2083,K,F,Schreiber,K F Schreiber,Editorial.Board,SE,,,,,Germany,DEU
LECO,1987,1,1,1361,H,H,Shugart,H H Shugart,Editorial.Board,SE,,,,,USA,USA
LECO,1987,1,1,571,C,,Steinitz,C Steinitz,Editorial.Board,SE,,,,,USA,USA
LECO,1987,1,1,3233,R,,Tosswall,R Tosswall,Editorial.Board,SE,,,,,Sweden,SWE
LECO,1987,1,1,1033,E,,van der Maarel,E van der Maarel,Editorial.Board,SE,,,,,Sweden,SWE
LECO,1987,1,1,1428,I,S,Zonneveld,I S Zonneveld,Editorial.Board,SE,,,,,Netherlands,NLD
LECO,1987,1,1,1045,E,H,Zube,E H Zube,Editorial.Board,SE,,,,,USA,USA
LECO,1988,1,3,3060,R,TT,Forman,R TT Forman,SE,SE,,,,,USA,USA
LECO,1988,1,3,2387,M,,Godron,M Godron,SE,SE,,,,,France,FRA
LECO,1988,1,3,1072,Frank,,Golley,Frank Golley,EIC,EIC,,,,,USA,USA
LECO,1988,1,3,1192,G,,Haase,G Haase,SE,SE,,,,,Germany,DEU
LECO,1988,1,3,3744,W,,Haber,W Haber,SE,SE,,,,,Germany,DEU
LECO,1988,1,3,3392,S,,Levin,S Levin,SE,SE,,,,,USA,USA
LECO,1988,1,3,1230,G,,Merriam,G Merriam,SE,SE,,,,,Canada,CAN
LECO,1988,1,3,3846,Z,,Naveh,Z Naveh,SE,SE,,,,,Israel,ISR
LECO,1988,1,3,2495,M,,Numata,M Numata,SE,SE,,,,,Japan,JPN
LECO,1988,1,3,177,A,F,Ramos,A F Ramos,SE,SE,,,,,Spain,ESP
LECO,1988,1,3,2907,P,Green,Risser,P Green Risser,SE,SE,,,,,USA,USA
LECO,1988,1,3,3633,T,,Rosswall,T Rosswall,SE,SE,,,,,Sweden,SWE
LECO,1988,1,3,2546,M,,Ruzicka,M Ruzicka,SE,SE,,,,,Russia,RUS
LECO,1988,1,3,2083,K,F,Schreiber,K F Schreiber,SE,SE,,,,,Germany,DEU
LECO,1988,1,3,1361,H,H,Shugart,H H Shugart,SE,SE,,,,,USA,USA
LECO,1988,1,3,571,C,,Steinitz,C Steinitz,SE,SE,,,,,USA,USA
LECO,1988,1,3,1034,E,,VanDer,E VanDer,SE,SE,,,,,Sweden,SWE
LECO,1988,1,3,1428,I,S,Zonneveld,I S Zonneveld,SE,SE,,,,,Netherlands,NLD
LECO,1988,1,3,1045,E,H,Zube,E H Zube,SE,SE,,,,,USA,USA
LECO,1989,2,3,3060,R,TT,Forman,R TT Forman,SE,SE,,,,,USA,USA
LECO,1989,2,3,2387,M,,Godron,M Godron,SE,SE,,,,,France,FRA
LECO,1989,2,3,1072,Frank,,Golley,Frank Golley,EIC,EIC,,,,,USA,USA
LECO,1989,2,3,1192,G,,Haase,G Haase,SE,SE,,,,,Germany,DEU
LECO,1989,2,3,3744,W,,Haber,W Haber,SE,SE,,,,,Germany,DEU
LECO,1989,2,3,3392,S,,Levin,S Levin,SE,SE,,,,,USA,USA
LECO,1989,2,3,1230,G,,Merriam,G Merriam,SE,SE,,,,,Canada,CAN
LECO,1989,2,3,3846,Z,,Naveh,Z Naveh,SE,SE,,,,,Israel,ISR
LECO,1989,2,3,2495,M,,Numata,M Numata,SE,SE,,,,,Japan,JPN
LECO,1989,2,3,177,A,F,Ramos,A F Ramos,SE,SE,,,,,Spain,ESP
LECO,1989,2,3,2907,P,Green,Risser,P Green Risser,SE,SE,,,,,USA,USA
LECO,1989,2,3,3633,T,,Rosswall,T Rosswall,SE,SE,,,,,Sweden,SWE
LECO,1989,2,3,2546,M,,Ruzicka,M Ruzicka,SE,SE,,,,,Russia,RUS
LECO,1989,2,3,2083,K,F,Schreiber,K F Schreiber,SE,SE,,,,,Germany,DEU
