JOURNAL,YEAR,VOLUME,ISSUE,TITLE,FIRST_NAME,MIDDLE_NAME,LAST_NAME,SUFFIX,COUNTRY,GENDER,CATEGORY,NOTES,INSTITUTION,
LECO,2013,27,1,Advisory Board,D,J,Mladenoff,,USA,,AdvisoryBoard,, University of Wisconsin  Madison  WI  ,
LECO,2013,27,1,Advisory Board,J,,Brandt,,Denmark,,AdvisoryBoard,, Roskilde University  Roskilde   ,
LECO,2013,27,1,Advisory Board,J,,Breuste,,Austria,,AdvisoryBoard,, University Salzburg  Salzburg   ,
LECO,2013,27,1,Advisory Board,R,,Hobbs,,Australia,,AdvisoryBoard,, University of West Australia  Crawley   ,
LECO,2013,27,1,Advisory Board,S,,Levin,,USA,,AdvisoryBoard,, Princeton University  Princeton  NJ  ,
LECO,2013,27,1,Associate-Editor-in-Chief,Paul,,Opdam,,The Netherlands,,AE,, Department of Land Use Planning & Alterra  Wageningen University  Wageningen    ,
LECO,2013,27,1,Book Review Editor,Louis,R,Iverson,,USA,,Special,, USDA Forest Service  359 Main Road  Delaware  OH 43015-8640 ,
LECO,2013,27,1,Editor-in-Chief,Jianguo (Jingle),,Wu,,USA,,EIC,," School of Life Sciences & Global Institute of Sustainability  Arizona State University  Tempe,  AZ 85287    ",
LECO,2013,27,1,Editorial Board,A,JA,vanTeeffelen,,The Netherlands,,SE,, VU University Amsterdam    ,
LECO,2013,27,1,Editorial Board,B,,Fu,,P.R. China,,SE,, Chinese Academy of Sciences  Beijing   ,
LECO,2013,27,1,Editorial Board,B,,Goodwin,,USA,,SE,, University of North Dakota  Grand Forks  ND  ,
LECO,2013,27,1,Editorial Board,B,L,Turner,II,USA,,SE,, School of Geographical Sciences  Arizona State  University  Tempe  AZ,
LECO,2013,27,1,Editorial Board,B,,Pijanowski,,USA,,SE,, Purdue University  West Lafayette  Indiana  ,
LECO,2013,27,1,Editorial Board,C,,Echeverria,,Chile,,SE,, Universidad de Concepci6n  Concepcion   ,
LECO,2013,27,1,Editorial Board,C,,McAlpine,,Australia,,SE,, University of Queensland  Brisbane   ,
LECO,2013,27,1,Editorial Board,C,,Vos,,The Netherlands,,SE,, Wageningen University Research Center-Alterra Wageningen   ,
LECO,2013,27,1,Editorial Board,D,,Bender,,Canada,,SE,, University of Calgary  Calgary   ,
LECO,2013,27,1,Editorial Board,D,,Donner,,USA,,SE,, U.S. Forest Service  Rhinelander  WI  ,
LECO,2013,27,1,Editorial Board,D,M,Theobald,,USA,,SE,, Natural Resources  National Park Service Fort Collins  CO,
LECO,2013,27,1,Editorial Board,E,,Gustafson,,USA,,SE,, USDA Forest Service  Rhinelander  WI  ,
LECO,2013,27,1,Editorial Board,E,S,Minor,,USA,,SE,, University of Illinois  Chicago  IL  ,
