JOURNAL,YEAR,VOLUME,ISSUE,editor_id,FIRST_NAME,MIDDLE_NAME,LAST_NAME,NAME,TITLE.x,CATEGORY,INST,UNIT,CITY,STATE,COUNTRY,geo.code
NAJFM,1981,1,1,3674,Vaughn,C,Anothony,Vaughn C Anothony,AE,SE,,,,,USA,USA
NAJFM,1981,1,1,1978,Kirt,T,Beiningen,Kirt T Beiningen,AE,SE,,,,,USA,USA
NAJFM,1981,1,1,949,Edwin,L,Cooper,Edwin L Cooper,AE,SE,,,,,USA,USA
NAJFM,1981,1,1,2645,Ned,E,Fogle,Ned E Fogle,AE,SE,,,,,USA,USA
NAJFM,1981,1,1,469,Calvin,L,Groen,Calvin L Groen,AE,SE,,,,,USA,USA
NAJFM,1981,1,1,3080,Robert,C,Haase,Robert C Haase,AE,SE,,,,,USA,USA
NAJFM,1981,1,1,1645,Janice,S,Hughes,Janice S Hughes,AE,SE,,,,,USA,USA
NAJFM,1981,1,1,1325,H,A,Larkins,H A Larkins,AE,SE,,,,,USA,USA
NAJFM,1981,1,1,2506,Mercer,H,Patriarche,Mercer H Patriarche,E,EIC,,,,,USA,USA
NAJFM,1981,1,1,2227,Lee,C,Redmond,Lee C Redmond,AE,SE,,,,,USA,USA
NAJFM,1981,1,1,3250,Robert,W,Wiley,Robert W Wiley,AE,SE,,,,,USA,USA
NAJFM,1982,2,1,3674,Vaughn,C,Anothony,Vaughn C Anothony,AE,SE,,,,,USA,USA
NAJFM,1982,2,1,1978,Kirt,T,Beiningen,Kirt T Beiningen,AE,SE,,,,,USA,USA
NAJFM,1982,2,1,949,Edwin,L,Cooper,Edwin L Cooper,AE,SE,,,,,USA,USA
NAJFM,1982,2,1,2645,Ned,E,Fogle,Ned E Fogle,AE,SE,,,,,USA,USA
NAJFM,1982,2,1,469,Calvin,L,Groen,Calvin L Groen,AE,SE,,,,,USA,USA
NAJFM,1982,2,1,3080,Robert,C,Haase,Robert C Haase,AE,SE,,,,,USA,USA
NAJFM,1982,2,1,1325,H,A,Larkins,H A Larkins,AE,SE,,,,,USA,USA
NAJFM,1982,2,1,2506,Mercer,H,Patriarche,Mercer H Patriarche,E,EIC,,,,,USA,USA
NAJFM,1982,2,1,1018,Eric,D,Prince,Eric D Prince,AE,SE,,,,,USA,USA
NAJFM,1982,2,1,2227,Lee,C,Redmond,Lee C Redmond,AE,SE,,,,,USA,USA
NAJFM,1982,2,1,3250,Robert,W,Wiley,Robert W Wiley,AE,SE,,,,,USA,USA
NAJFM,1983,3,1,2982,Ronald,J,Berg,Ronald J Berg,AE,SE,,,,,USA,USA
NAJFM,1983,3,1,3109,Robert,M,Jenkins,Robert M Jenkins,AE,SE,,,,,USA,USA
NAJFM,1983,3,1,2506,Mercer,H,Patriarche,Mercer H Patriarche,E,EIC,,,,,USA,USA
NAJFM,1983,3,1,3780,William,A,Pierce,William A Pierce,AE,SE,,,,,USA,USA
NAJFM,1983,3,1,1016,E,P,Pister,E P Pister,AE,SE,,,,,USA,USA
NAJFM,1983,3,1,1018,Eric,D,Prince,Eric D Prince,AE,SE,,,,,USA,USA
NAJFM,1983,3,1,2227,Lee,C,Redmond,Lee C Redmond,AE,SE,,,,,USA,USA
NAJFM,1983,3,1,3451,Stephen,G,Rideout,Stephen G Rideout,AE,SE,,,,,USA,USA
NAJFM,1983,3,1,1858,James,C,Schneider,James C Schneider,AE,SE,,,,,USA,USA
NAJFM,1983,3,1,3469,Steven,L,Serns,Steven L Serns,AE,SE,,,,,USA,USA
NAJFM,1983,3,1,1877,J,Gary,Smith,J Gary Smith,AE,SE,,,,,USA,USA
NAJFM,1983,3,1,1915,James,R,Triplett,James R Triplett,AE,SE,,,,,USA,USA
NAJFM,1983,3,1,3250,Robert,W,Wiley,Robert W Wiley,AE,SE,,,,,USA,USA
NAJFM,1983,3,1,1959,J,Larry,Wilson,J Larry Wilson,AE,SE,,,,,USA,USA
NAJFM,1984,4,1,2982,Ronald,J,Berg,Ronald J Berg,AE,SE,,,,,USA,USA
NAJFM,1984,4,1,64,Allen,A,Elser,Allen A Elser,AE,SE,,,,,USA,USA
NAJFM,1984,4,1,3742,Wendy,L,Gabriel,Wendy L Gabriel,AE,SE,,,,,USA,USA
NAJFM,1984,4,1,2506,Mercer,H,Patriarche,Mercer H Patriarche,E,EIC,,,,,USA,USA
NAJFM,1984,4,1,3780,William,A,Pierce,William A Pierce,AE,SE,,,,,USA,USA
NAJFM,1984,4,1,1016,E,P,Pister,E P Pister,AE,SE,,,,,USA,USA
NAJFM,1984,4,1,1018,Eric,D,Prince,Eric D Prince,AE,SE,,,,,USA,USA
NAJFM,1984,4,1,3451,Stephen,G,Rideout,Stephen G Rideout,AE,SE,,,,,USA,USA
NAJFM,1984,4,1,1858,James,C,Schneider,James C Schneider,AE,SE,,,,,USA,USA
NAJFM,1984,4,1,3469,Steven,L,Serns,Steven L Serns,AE,SE,,,,,USA,USA
NAJFM,1984,4,1,1877,J,Gary,Smith,J Gary Smith,AE,SE,,,,,USA,USA
NAJFM,1984,4,1,1915,James,R,Triplett,James R Triplett,AE,SE,,,,,USA,USA
NAJFM,1984,4,1,917,David,K,Whitehurst,David K Whitehurst,AE,SE,,,,,USA,USA
NAJFM,1984,4,1,1959,J,Larry,Wilson,J Larry Wilson,AE,SE,,,,,USA,USA
NAJFM,1985,5,1,613,Dean,E,Arnold,Dean E Arnold,AE,SE,,,,,USA,USA
NAJFM,1985,5,1,393,C,Dale,Becker,C Dale Becker,AE,SE,,,,,USA,USA
NAJFM,1985,5,1,396,Charles,R,Berry,Charles R Berry,AE,SE,,,,,USA,USA
NAJFM,1985,5,1,414,Charles,W,Caillouet,Charles W Caillouet,AE,SE,,,,,USA,USA
NAJFM,1985,5,1,1514,James,P,Clugston,James P Clugston,AE,SE,,,,,USA,USA
NAJFM,1985,5,1,45,Almo,J,Cordone,Almo J Cordone,AE,SE,,,,,USA,USA
NAJFM,1985,5,1,64,Allen,A,Elser,Allen A Elser,AE,SE,,,,,USA,USA
NAJFM,1985,5,1,3742,Wendy,L,Gabriel,Wendy L Gabriel,AE,SE,,,,,USA,USA
NAJFM,1985,5,1,1599,Jay,JC,Ginter,Jay JC Ginter,AE,SE,,,,,USA,USA
NAJFM,1985,5,1,3606,Timothy,C,Modde,Timothy C Modde,AE,SE,,,,,USA,USA
NAJFM,1985,5,1,3414,Stephen,J,Nepszy,Stephen J Nepszy,AE,SE,,,,,Canada,CAN
NAJFM,1985,5,1,2506,Mercer,H,Patriarche,Mercer H Patriarche,E,EIC,,,,,USA,USA
NAJFM,1985,5,1,3795,William,,Seaman,William Seaman,AE,SE,,,,,USA,USA
NAJFM,1985,5,1,3469,Steven,L,Serns,Steven L Serns,AE,SE,,,,,USA,USA
NAJFM,1985,5,1,3796,William,L,Shelton,William L Shelton,AE,SE,,,,,USA,USA
NAJFM,1985,5,1,917,David,K,Whitehurst,David K Whitehurst,AE,SE,,,,,USA,USA
NAJFM,1986,6,1,613,Dean,E,Arnold,Dean E Arnold,AE,SE,,,,,USA,USA
NAJFM,1986,6,1,393,C,Dale,Becker,C Dale Becker,AE,SE,,,,,USA,USA
NAJFM,1986,6,1,396,Charles,R,Berry,Charles R Berry,AE,SE,,,,,USA,USA
NAJFM,1986,6,1,414,Charles,W,Caillouet,Charles W Caillouet,AE,SE,,,,,USA,USA
NAJFM,1986,6,1,1514,James,P,Clugston,James P Clugston,AE,SE,,,,,USA,USA
NAJFM,1986,6,1,45,Almo,J,Cordone,Almo J Cordone,AE,SE,,,,,USA,USA
NAJFM,1986,6,1,1599,Jay,JC,Ginter,Jay JC Ginter,AE,SE,,,,,USA,USA
NAJFM,1986,6,1,1074,Frank,,Grice,Frank Grice,AE,SE,,,,,USA,USA
NAJFM,1986,6,1,3606,Timothy,C,Modde,Timothy C Modde,AE,SE,,,,,USA,USA
NAJFM,1986,6,1,3414,Stephen,J,Nepszy,Stephen J Nepszy,AE,SE,,,,,Canada,CAN
NAJFM,1986,6,1,3693,Vaughn,L,Paragamian,Vaughn L Paragamian,AE,SE,,,,,USA,USA
NAJFM,1986,6,1,2506,Mercer,H,Patriarche,Mercer H Patriarche,E,EIC,,,,,USA,USA
NAJFM,1986,6,1,2077,Kenneth,J,Roberts,Kenneth J Roberts,AE,SE,,,,,USA,USA
NAJFM,1986,6,1,3795,William,,Seaman,William Seaman,AE,SE,,,,,USA,USA
NAJFM,1986,6,1,1131,Fredric,M,Serchuck,Fredric M Serchuck,AE,SE,,,,,USA,USA
NAJFM,1986,6,1,3796,William,L,Shelton,William L Shelton,AE,SE,,,,,USA,USA
NAJFM,1986,6,1,917,David,K,Whitehurst,David K Whitehurst,AE,SE,,,,,USA,USA
NAJFM,1987,7,1,396,Charles,R,Berry,Charles R Berry,AE,SE,,,,,USA,USA
NAJFM,1987,7,1,3012,Robert,F,Carline,Robert F Carline,E,EIC,,,,,USA,USA
NAJFM,1987,7,1,1546,Joseph,G,Dillard,Joseph G Dillard,AE,SE,,,,,USA,USA
NAJFM,1987,7,1,675,Donald,A,Duff,Donald A Duff,AE,SE,,,,,USA,USA
NAJFM,1987,7,1,85,Albert,E,Giorgi,Albert E Giorgi,AE,SE,,,,,USA,USA
NAJFM,1987,7,1,3340,Steven,P,Gloss,Steven P Gloss,AE,SE,,,,,USA,USA
NAJFM,1987,7,1,1074,Frank,,Grice,Frank Grice,AE,SE,,,,,USA,USA
NAJFM,1987,7,1,3559,Terry,A,Haines,Terry A Haines,AE,SE,,,,,USA,USA
NAJFM,1987,7,1,1195,Gordon,N,Haugen,Gordon N Haugen,AE,SE,,,,,Canada,CAN
NAJFM,1987,7,1,509,Charles,R,Liston,Charles R Liston,AE,SE,,,,,USA,USA
NAJFM,1987,7,1,1752,John,D,McIntyre,John D McIntyre,AE,SE,,,,,USA,USA
NAJFM,1987,7,1,3693,Vaughn,L,Paragamian,Vaughn L Paragamian,AE,SE,,,,,USA,USA
NAJFM,1987,7,1,2077,Kenneth,J,Roberts,Kenneth J Roberts,AE,SE,,,,,USA,USA
NAJFM,1987,7,1,1358,Harold,L,Schramm,Harold L Schramm,AE,SE,,,,,USA,USA
NAJFM,1987,7,1,1131,Fredric,M,Serchuck,Fredric M Serchuck,AE,SE,,,,,USA,USA
NAJFM,1988,8,1,3012,Robert,F,Carline,Robert F Carline,E,EIC,,,,,USA,USA
NAJFM,1988,8,1,3019,Richard,D,Clark,Richard D Clark,AE,SE,,,,,USA,USA
NAJFM,1988,8,1,1546,Joseph,G,Dillard,Joseph G Dillard,AE,SE,,,,,USA,USA
