JOURNAL,YEAR,VOLUME,ISSUE,editor_id,FIRST_NAME,MIDDLE_NAME,LAST_NAME,NAME,TITLE.x,CATEGORY,OLD_INST,INST,UNIT,CITY,STATE,COUNTRY,geo.code
OIKOS,1985,44,1,193,A,,Semb-Johansson,A Semb-Johansson,Editorial.Board,SE,,,,Oslo,,Norway,NOR
OIKOS,1985,44,1,538,C,Overgaard,Nielsen,C Overgaard Nielsen,Editorial.Board,SE,Copenhagen,,,Copenhagen,,Denmark,DNK
OIKOS,1985,44,1,954,E,,Dahl,E Dahl,Editorial.Board,SE,,,,As-NLH,,Norway,NOR
OIKOS,1985,44,1,977,E,,Haukioja,E Haukioja,Editorial.Board,SE,,,,Turku,,Finland,FIN
OIKOS,1985,44,1,1048,F,,Andersson,F Andersson,Editorial.Board,SE,,,,Uppsala,,Sweden,SWE
OIKOS,1985,44,1,2664,Nils,,Malmer,Nils Malmer,Editor,AE,,University of Lund,Plant Ecology,Lund,,Sweden,SWE
OIKOS,1985,44,1,2723,O,,Jarvinen,O Jarvinen,Editorial.Board,SE,,,,Helsinki,,Finland,FIN
OIKOS,1985,44,1,2772,Per,,Brink,Per Brink,EIC,EIC,,University of Lund,Ecology,Lund,,Sweden,SWE
OIKOS,1985,44,1,3271,S,T,Andersen,S T Andersen,Editorial.Board,SE,Copenhagen,,,Copenhagen,,Denmark,DNK
OIKOS,1985,44,1,3282,Sven,,Bjork,Sven Bjork,Editor,AE,,University of Lund,Limnology,Lund,,Sweden,SWE
OIKOS,1985,44,1,3490,S,,Ulfstrand,S Ulfstrand,Editorial.Board,SE,,University of Uppsala,Zoology,Uppsala,,Sweden,SWE
OIKOS,1985,44,1,3490,Staffan,,Ulfstrand,Staffan Ulfstrand,Deputy.EIC,EIC,,University of Uppsala,Zoology,Uppsala,,Sweden,SWE
OIKOS,1985,44,1,3544,Tom,,Fenchel,Tom Fenchel,Editor,AE,,University of Aarhus,Ecology and Genetics,Aarhus,,Denmark,DNK
OIKOS,1986,46,1,193,A,,Semb-Johansson,A Semb-Johansson,Editorial.Board,SE,,,,Oslo,,Norway,NOR
OIKOS,1986,46,1,538,C,Overgaard,Nielsen,C Overgaard Nielsen,Editorial.Board,SE,Copenhagen,,,Copenhagen,,Denmark,DNK
OIKOS,1986,46,1,954,E,,Dahl,E Dahl,Editorial.Board,SE,,,,As-NLH,,Norway,NOR
OIKOS,1986,46,1,977,E,,Haukioja,E Haukioja,Editorial.Board,SE,,,,Turku,,Finland,FIN
OIKOS,1986,46,1,1048,F,,Andersson,F Andersson,Editorial.Board,SE,,,,Uppsala,,Sweden,SWE
OIKOS,1986,46,1,2664,Nils,,Malmer,Nils Malmer,Editor,AE,,University of Lund,Plant Ecology,Lund,,Sweden,SWE
OIKOS,1986,46,1,2723,O,,Jarvinen,O Jarvinen,Editorial.Board,SE,,,,Helsinki,,Finland,FIN
OIKOS,1986,46,1,2772,Per,,Brink,Per Brink,EIC,EIC,,University of Lund,Ecology,Lund,,Sweden,SWE
OIKOS,1986,46,1,3271,S,T,Andersen,S T Andersen,Editorial.Board,SE,Copenhagen,,,Copenhagen,,Denmark,DNK
OIKOS,1986,46,1,3282,Sven,,Bjork,Sven Bjork,Editor,AE,,University of Lund,Limnology,Lund,,Sweden,SWE
OIKOS,1986,46,1,3490,S,,Ulfstrand,S Ulfstrand,Editorial.Board,SE,,University of Uppsala,Zoology,Uppsala,,Sweden,SWE
OIKOS,1986,46,1,3490,Staffan,,Ulfstrand,Staffan Ulfstrand,Deputy.EIC,EIC,,University of Uppsala,Zoology,Uppsala,,Sweden,SWE
OIKOS,1986,46,1,3544,Tom,,Fenchel,Tom Fenchel,Editor,AE,,University of Aarhus,Ecology and Genetics,Aarhus,,Denmark,DNK
OIKOS,1987,48,1,193,A,,Semb-Johansson,A Semb-Johansson,Editorial.Board,SE,,,,Oslo,,Norway,NOR
OIKOS,1987,48,1,538,C,Overgaard,Nielsen,C Overgaard Nielsen,Editorial.Board,SE,Copenhagen,,,Copenhagen,,Denmark,DNK
OIKOS,1987,48,1,954,E,,Dahl,E Dahl,Editorial.Board,SE,,,,As-NLH,,Norway,NOR
OIKOS,1987,48,1,977,E,,Haukioja,E Haukioja,Editorial.Board,SE,,,,Turku,,Finland,FIN
OIKOS,1987,48,1,1048,F,,Andersson,F Andersson,Editorial.Board,SE,,,,Uppsala,,Sweden,SWE
OIKOS,1987,48,1,2664,Nils,,Malmer,Nils Malmer,Editor,AE,,University of Lund,Ecology,Lund,,Sweden,SWE
OIKOS,1987,48,1,2723,O,,Jarvinen,O Jarvinen,Editorial.Board,SE,,,,Helsinki,,Finland,FIN
OIKOS,1987,48,1,2772,Per,,Brink,Per Brink,EIC,EIC,,University of Lund,Ecology,Lund,,Sweden,SWE
OIKOS,1987,48,1,3271,S,T,Andersen,S T Andersen,Editorial.Board,SE,Copenhagen,,,Copenhagen,,Denmark,DNK
OIKOS,1987,48,1,3282,Sven,,Bjork,Sven Bjork,Editor,AE,,University of Lund,Ecology,Lund,,Sweden,SWE
OIKOS,1987,48,1,3490,S,,Ulfstrand,S Ulfstrand,Editorial.Board,SE,,University of Uppsala,Zoology,Uppsala,,Sweden,SWE
OIKOS,1987,48,1,3490,Staffan,,Ulfstrand,Staffan Ulfstrand,Deputy.EIC,EIC,,University of Uppsala,Zoology,Uppsala,,Sweden,SWE
OIKOS,1987,48,1,3544,Tom,,Fenchel,Tom Fenchel,Editor,AE,,University of Aarhus,Ecology and Genetics,Aarhus,,Denmark,DNK
OIKOS,1988,51,1,193,A,,Semb-Johansson,A Semb-Johansson,Editorial.Board,SE,,,,Oslo,,Norway,NOR
OIKOS,1988,51,1,538,C,Overgaard,Nielsen,C Overgaard Nielsen,Editorial.Board,SE,Copenhagen,,,Copenhagen,,Denmark,DNK
OIKOS,1988,51,1,954,E,,Dahl,E Dahl,Editorial.Board,SE,,,,As-NLH,,Norway,NOR
OIKOS,1988,51,1,977,E,,Haukioja,E Haukioja,Editorial.Board,SE,,,,Turku,,Finland,FIN
OIKOS,1988,51,1,1048,F,,Andersson,F Andersson,Editorial.Board,SE,,,,Uppsala,,Sweden,SWE
OIKOS,1988,51,1,2664,Nils,,Malmer,Nils Malmer,Editor,AE,,University of Lund,Ecology,Lund,,Sweden,SWE
OIKOS,1988,51,1,2723,O,,Jarvinen,O Jarvinen,Editorial.Board,SE,,,,Helsinki,,Finland,FIN
OIKOS,1988,51,1,2772,Per,,Brink,Per Brink,EIC,EIC,,University of Lund,Ecology,Lund,,Sweden,SWE
OIKOS,1988,51,1,3271,S,T,Andersen,S T Andersen,Editorial.Board,SE,Copenhagen,,,Copenhagen,,Denmark,DNK
OIKOS,1988,51,1,3282,Sven,,Bjork,Sven Bjork,Editor,AE,,University of Lund,Ecology,Lund,,Sweden,SWE
OIKOS,1988,51,1,3490,S,,Ulfstrand,S Ulfstrand,Editorial.Board,SE,,University of Uppsala,Zoology,Uppsala,,Sweden,SWE
OIKOS,1988,51,1,3490,Staffan,,Ulfstrand,Staffan Ulfstrand,Deputy.EIC,EIC,,University of Uppsala,Zoology,Uppsala,,Sweden,SWE
OIKOS,1988,51,1,3544,Tom,,Fenchel,Tom Fenchel,Editor,AE,,University of Copenhagen,Marine Biological Laboratory,Helsingor,,Denmark,DNK
OIKOS,1989,54,1,193,A,,Semb-Johansson,A Semb-Johansson,Editorial.Board,SE,,,,Oslo,,Norway,NOR
OIKOS,1989,54,1,538,C,Overgaard,Nielsen,C Overgaard Nielsen,Editorial.Board,SE,Copenhagen,,,Copenhagen,,Denmark,DNK
OIKOS,1989,54,1,954,E,,Dahl,E Dahl,Editorial.Board,SE,,,,As-NLH,,Norway,NOR
OIKOS,1989,54,1,977,E,,Haukioja,E Haukioja,Editorial.Board,SE,,,,Turku,,Finland,FIN
OIKOS,1989,54,1,1048,F,,Andersson,F Andersson,Editorial.Board,SE,,,,Uppsala,,Sweden,SWE
OIKOS,1989,54,1,2664,Nils,,Malmer,Nils Malmer,Editor,AE,,University of Lund,Ecology,Lund,,Sweden,SWE
OIKOS,1989,54,1,2723,Olli,,Jarvinen,Olli Jarvinen,Editorial.Board,SE,,,,Helsinki,,Finland,FIN
OIKOS,1989,54,1,2772,Per,,Brink,Per Brink,EIC,EIC,,University of Lund,Ecology,Lund,,Sweden,SWE
OIKOS,1989,54,1,3271,S,T,Andersen,S T Andersen,Editorial.Board,SE,Copenhagen,,,Copenhagen,,Denmark,DNK
OIKOS,1989,54,1,3282,Sven,,Bjork,Sven Bjork,Editor,AE,,University of Lund,Ecology,Lund,,Sweden,SWE
OIKOS,1989,54,1,3490,S,,Ulfstrand,S Ulfstrand,Editorial.Board,SE,,University of Uppsala,Zoology,Uppsala,,Sweden,SWE
OIKOS,1989,54,1,3490,Staffan,,Ulfstrand,Staffan Ulfstrand,Deputy.EIC,EIC,,University of Uppsala,Zoology,Uppsala,,Sweden,SWE
OIKOS,1989,54,1,3544,Tom,,Fenchel,Tom Fenchel,Editor,AE,,University of Copenhagen,Marine Biological Laboratory,Helsingor,,Denmark,DNK
OIKOS,1990,57,1,500,Charles,,Krebs,Charles Krebs,Advisory.Panel,SE,,University of British Columbia,Zoology,Vancouver,,Canada,CAN
OIKOS,1990,57,1,1702,John,H,Lawton,John H Lawton,Advisory.Panel,SE,,Imperial College,,Silwood Park,,England,GBR
OIKOS,1990,57,1,2664,Nils,,Malmer,Nils Malmer,EIC,EIC,,Lund University,Ecology,Lund,,Sweden,SWE
OIKOS,1990,57,1,2723,Olli,,Jarvinen,Olli Jarvinen,Advisory.Panel,SE,,University of Helsinki,Zoology,Helsinki,,Finland,FIN
OIKOS,1990,57,1,3490,Staffan,,Ulfstrand,Staffan Ulfstrand,Deputy.EIC,EIC,,University of Uppsala,Zoology,Uppsala,,Sweden,SWE
OIKOS,1990,57,1,3490,Staffan,,Ulfstrand,Staffan Ulfstrand,Advisory.Panel,SE,,University of Uppsala,Zoology,Uppsala,,Sweden,SWE
OIKOS,1990,57,1,3543,Torbjon,,Fagerstrom,Torbjon Fagerstrom,Advisory.Panel,SE,,Lund University,Ecology,Lund,,Sweden,SWE
OIKOS,1990,57,1,3544,Tom,,Fenchel,Tom Fenchel,Advisory.Panel,SE,,University of Copenhagen,Laboratory of Marine Biology,Copenhagen,,Denmark,DNK
OIKOS,1991,60,1,500,Charles,,Krebs,Charles Krebs,Advisory.Panel,SE,,University of British Columbia,Zoology,Vancouver,,Canada,CAN
OIKOS,1991,60,1,1398,Ilkka,,Hanski,Ilkka Hanski,Advisory.Panel,SE,,University of Helsinki,Zoology,Helsinki,,Finland,FIN
OIKOS,1991,60,1,2664,Nils,,Malmer,Nils Malmer,EIC,EIC,,Lund University,Ecology,Lund,,Sweden,SWE
OIKOS,1991,60,1,3490,Staffan,,Ulfstrand,Staffan Ulfstrand,Deputy.EIC,EIC,,University of Uppsala,Zoology,Uppsala,,Sweden,SWE
OIKOS,1991,60,1,3490,Staffan,,Ulfstrand,Staffan Ulfstrand,Advisory.Panel,SE,,University of Uppsala,Zoology,Uppsala,,Sweden,SWE
OIKOS,1991,60,1,3543,Torbjon,,Fagerstrom,Torbjon Fagerstrom,Advisory.Panel,SE,,Lund University,Ecology,Lund,,Sweden,SWE
OIKOS,1991,60,1,3544,Tom,,Fenchel,Tom Fenchel,Advisory.Panel,SE,,University of Copenhagen,Laboratory of Marine Biology,Copenhagen,,Denmark,DNK
OIKOS,1992,63,1,500,Charles,,Krebs,Charles Krebs,Advisory.Panel,SE,,University of British Columbia,Zoology,Vancouver,,Canada,CAN
OIKOS,1992,63,1,1398,Ilkka,,Hanski,Ilkka Hanski,Advisory.Panel,SE,,University of Helsinki,Zoology,Helsinki,,Finland,FIN
OIKOS,1992,63,1,1702,John,H,Lawton,John H Lawton,Advisory.Panel,SE,,Imperial College,,Silwood Park,,England,GBR
OIKOS,1992,63,1,2664,Nils,,Malmer,Nils Malmer,EIC,EIC,,Lund University,Ecology,Lund,,Sweden,SWE
OIKOS,1992,63,1,3490,Staffan,,Ulfstrand,Staffan Ulfstrand,Deputy.EIC,EIC,,University of Uppsala,Zoology,Uppsala,,Sweden,SWE
OIKOS,1992,63,1,3490,Staffan,,Ulfstrand,Staffan Ulfstrand,Advisory.Panel,SE,,University of Uppsala,Zoology,Uppsala,,Sweden,SWE
OIKOS,1992,63,1,3543,Torbjon,,Fagerstrom,Torbjon Fagerstrom,Advisory.Panel,SE,,Lund University,Ecology,Lund,,Sweden,SWE
OIKOS,1992,63,1,3544,Tom,,Fenchel,Tom Fenchel,Advisory.Panel,SE,,University of Copenhagen,Laboratory of Marine Biology,Copenhagen,,Denmark,DNK
OIKOS,1993,66,1,500,Charles,,Krebs,Charles Krebs,Advisory.Panel,SE,,University of British Columbia,Zoology,Vancouver,,Canada,CAN
OIKOS,1993,66,1,1398,Ilkka,,Hanski,Ilkka Hanski,Advisory.Panel,SE,,University of Helsinki,Zoology,Helsinki,,Finland,FIN
OIKOS,1993,66,1,1702,John,H,Lawton,John H Lawton,Advisory.Panel,SE,,Imperial College,,Silwood Park,,England,GBR
OIKOS,1993,66,1,2664,Nils,,Malmer,Nils Malmer,EIC,EIC,,Lund University,Ecology,Lund,,Sweden,SWE
OIKOS,1993,66,1,3490,Staffan,,Ulfstrand,Staffan Ulfstrand,Deputy.EIC,EIC,,University of Uppsala,Zoology,Uppsala,,Sweden,SWE
OIKOS,1993,66,1,3490,Staffan,,Ulfstrand,Staffan Ulfstrand,Advisory.Panel,SE,,University of Uppsala,Zoology,Uppsala,,Sweden,SWE
OIKOS,1993,66,1,3543,Torbjon,,Fagerstrom,Torbjon Fagerstrom,Advisory.Panel,SE,,Lund University,Ecology,Lund,,Sweden,SWE
OIKOS,1993,66,1,3544,Tom,,Fenchel,Tom Fenchel,Advisory.Panel,SE,,University of Copenhagen,Laboratory of Marine Biology,Copenhagen,,Denmark,DNK
OIKOS,1994,69,1,500,Charles,,Krebs,Charles Krebs,Advisory.Panel,SE,,University of British Columbia,Zoology,Vancouver,,Canada,CAN
OIKOS,1994,69,1,1398,Ilkka,,Hanski,Ilkka Hanski,Advisory.Panel,SE,,University of Helsinki,Zoology,Helsinki,,Finland,FIN
