JOURNAL,YEAR,VOLUME,ISSUE,editor_id,FIRST_NAME,MIDDLE_NAME,LAST_NAME,NAME,TITLE.x,CATEGORY,INST,UNIT,CITY,STATE,COUNTRY,geo.code
PLANTECOL,1985,58,3,2281,Mike,P,Austin,Mike P Austin,Editor,SE,CSIRO,,,,Australia,AUS
PLANTECOL,1985,58,3,1457,James,S,Beard,James S Beard,Editor,SE,Vegetation Survey of Western Australia,,,,Australia,AUS
PLANTECOL,1985,58,3,2993,Reinhard,,Bornkamm,Reinhard Bornkamm,Editor,SE,,,,,Germany,DEU
PLANTECOL,1985,58,3,2340,Michael,B,Dale,Michael B Dale,Editor,SE,CSIRO,,,,Australia,AUS
PLANTECOL,1985,58,3,49,Antoni,WH,Damman,Antoni WH Damman,Editor,SE,University of Connecticut,,,,United States,USA
PLANTECOL,1985,58,3,1593,Jean-Marie,,Gehu,Jean-Marie Gehu,Editor,SE,,,,,France,FRA
PLANTECOL,1985,58,3,460,Charles,H,Gimingham,Charles H Gimingham,Editor,SE,,,,,UK,GBR
PLANTECOL,1985,58,3,705,David,C,Glenn-Lewin,David C Glenn-Lewin,Editor,SE,Iowa State University,,,,United States,USA
PLANTECOL,1985,58,3,2818,Peter,J,Grubb,Peter J Grubb,Editor,SE,,,,,UK,GBR
PLANTECOL,1985,58,3,3749,Wolfgang,,Holzner,Wolfgang Holzner,Editor,SE,,,,,Austria,AUT
PLANTECOL,1985,58,3,1092,Frank,,Klotzli,Frank Klotzli,Editor,SE,,,,,Switzerland,CHE
PLANTECOL,1985,58,3,139,Ariel,E,Lugo,Ariel E Lugo,Editor,SE,USDA Forest Service,,,,Puerto Rico,PRI
PLANTECOL,1985,58,3,3190,Robert,K,Peet,Robert K Peet,Editor,SE,University of North Carolina at Chapel Hill,,,,United States,USA
PLANTECOL,1985,58,3,1415,Iain,C,Prentice,Iain C Prentice,Editor,SE,Uppsala University,,,,Sweden,SWE
PLANTECOL,1985,58,3,216,Argenta,A,Titlyanova,Argenta A Titlyanova,Editor,SE,Siberian Branch of the Academy of Sciences,,,,USSR,RUS
PLANTECOL,1985,58,3,1035,Eddy,,VanDerMaarel,Eddy VanDerMaarel,EIC,EIC,,,,,Sweden,SWE
PLANTECOL,1985,58,3,2604,Marinus,JA,Werger,Marinus JA Werger,Editor,SE,,,,,Netherlands,NLD
PLANTECOL,1985,58,3,3911,James,,White,James White,Editor,SE,,,,,Ireland,IRL
