"","JOURNAL","YEAR","editor_id","FIRST_NAME","MIDDLE_NAME","LAST_NAME","INST","UNIT","CITY","STATE","COUNTRY","NOTES","VOLUME","ISSUE","TITLE","CATEGORY","geo.code","GENDER","X.x","X.y"
"1","CONDOR",2011,NA,"Daniel",NA,"Kissling","Aarhus U",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","JBIOG",2013,"3758","W","Daniel","Kissling","Aarhus University",NA,NA,NA,"Denmark",NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","FUNECOL",1987,"3254","Robin","J","Wootton","Aberystwyth",NA,"Aberystwyth",NA,"Wales",NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","FUNECOL",1988,"3254","Robin","J","Wootton","Aberystwyth",NA,NA,NA,"Wales",NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","FUNECOL",1989,"3254","Robin","J","Wootton","Aberystwyth",NA,NA,NA,"Wales",NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","FUNECOL",1990,"3254","Robin","J","Wootton","Aberystwyth",NA,NA,NA,"Wales",NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","FUNECOL",1991,"3254","Robin","J","Wootton","Aberystwyth",NA,NA,NA,"Wales",NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","FUNECOL",1992,"3254","Robin","J","Wootton","Aberystwyth",NA,NA,NA,"Wales",NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","FUNECOL",1993,"3254","Robin","J","Wootton","Aberystwyth",NA,NA,NA,"Wales",NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","FUNECOL",1994,"3254","Robin","J","Wootton","Aberystwyth",NA,NA,NA,"Wales",NA,NA,NA,NA,NA,NA,NA,NA,NA
"11","FUNECOL",1995,"3254","Robin","J","Wootton","Aberystwyth",NA,NA,NA,"Wales",NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","FUNECOL",1996,"3254","Robin","J","Wootton","Aberystwyth",NA,NA,NA,"Wales",NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","FUNECOL",1997,"3254","Robin","J","Wootton","Aberystwyth",NA,NA,NA,"Wales",NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","FUNECOL",1998,"3254","Robin","J","Wootton","Aberystwyth",NA,NA,NA,"Wales",NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","FUNECOL",1999,"3254","Robin","J","Wootton","Aberystwyth",NA,NA,NA,"Wales",NA,NA,NA,NA,NA,NA,NA,NA,NA
"16","BIOCON",1987,"3832","YONG-LIN",NA,"CHEN","Academia Sinica","","Beijing",NA,"China",NA,NA,NA,NA,NA,NA,NA,NA,NA
"17","BITR",2002,"2203","Lucinda",NA,"McDade","Academy of Natural Science Philadelphia",NA,NA,NA,"USA",NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","BITR",2003,"2203","Lucinda",NA,"McDade","Academy of Natural Science Philadelphia",NA,NA,NA,"USA",NA,NA,NA,NA,NA,NA,NA,NA,NA
"19","BITR",2004,"2203","Lucinda",NA,"McDade","Academy of Natural Science Philadelphia",NA,NA,NA,"USA",NA,NA,NA,NA,NA,NA,NA,NA,NA
"20","BITR",2005,"2203","Lucinda",NA,"McDade","Academy of Natural Science Philadelphia",NA,NA,NA,"USA",NA,NA,NA,NA,NA,NA,NA,NA,NA
"21","AUK",2014,NA,"Dave",NA,"Shutler","Acadia U",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"22","AUK",2015,NA,"Dave",NA,"Shutler","Acadia U",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"23","AUK",2016,NA,"Dave",NA,"Shutler","Acadia U",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"24","AUK",2017,NA,"Dave",NA,"Shutler","Acadia U",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"25","AUK",2018,NA,"Dave",NA,"Shutler","Acadia U",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"26","CONDOR",2009,NA,"Dave",NA,"Shutler","Acadia U",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"27","CONDOR",2010,NA,"Dave",NA,"Shutler","Acadia U",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"28","CONDOR",2011,NA,"Dave",NA,"Shutler","Acadia U",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"29","CONDOR",2012,NA,"Dave",NA,"Shutler","Acadia U",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"30","CONDOR",2013,NA,"Dave",NA,"Shutler","Acadia U",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"31","CONDOR",2014,NA,"Dave",NA,"Shutler","Acadia U",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"32","BITR",2012,"2367","Masresha",NA,"Fetene","Addis Ababa University",NA,NA,NA,"Ethiopia",NA,NA,NA,NA,NA,NA,NA,NA,NA
"33","BITR",2013,"2367","Masresha",NA,"Fetene","Addis Ababa University",NA,NA,NA,"Ethiopia",NA,NA,NA,NA,NA,NA,NA,NA,NA
"34","BITR",2014,"2367","Masresha",NA,"Fetene","Addis Ababa University",NA,NA,NA,"Ethiopia",NA,NA,NA,NA,NA,NA,NA,NA,NA
"35","FEM",2002,"1735","Jumanne","A","Maghembe","Africa Plant Seeds International",NA,"Dar-Es-Salaam",NA,"Tanzania",NA,NA,NA,NA,NA,NA,NA,NA,NA
"36","FEM",2003,"1735","Jumanne","A","Maghembe","Africa Plant Seeds International",NA,"Dar-Es-Salaam",NA,"Tanzania",NA,NA,NA,NA,NA,NA,NA,NA,NA
"37","FEM",2004,"1735","Jumanne","A","Maghembe","Africa Plant Seeds International",NA,"Dar-Es-Salaam",NA,"Tanzania",NA,NA,NA,NA,NA,NA,NA,NA,NA
"38","FEM",2005,"1735","Jumanne","A","Maghembe","Africa Plant Seeds International",NA,"Dar-Es-Salaam",NA,"Tanzania",NA,NA,NA,NA,NA,NA,NA,NA,NA
"39","FEM",2006,"1735","Jumanne","A","Maghembe","Africa Plant Seeds International",NA,"Dar-Es-Salaam",NA,"Tanzania",NA,NA,NA,NA,NA,NA,NA,NA,NA
"40","FEM",2007,"1735","Jumanne","A","Maghembe","Africa Plant Seeds International",NA,"Dar-Es-Salaam",NA,"Tanzania",NA,NA,NA,NA,NA,NA,NA,NA,NA
"41","AGRONOMY",2014,"3421","Sylvester","O","Oikeh","African Agricultural Technology Foundation",NA,"Nairobi",NA,"Kenya",NA,NA,NA,NA,NA,NA,NA,NA,NA
"42","AGRONOMY",2008,"3421","Sylvester",NA,"Oikeh","African Agricultural Technology Foundation",NA,"Nairobi",NA,"Kenya",NA,NA,NA,NA,NA,NA,NA,NA,NA
"43","AGRONOMY",2009,"3421","Sylvester",NA,"Oikeh","African Agricultural Technology Foundation",NA,"Nairobi",NA,"Kenya",NA,NA,NA,NA,NA,NA,NA,NA,NA
"44","AGRONOMY",2010,"3421","Sylvester",NA,"Oikeh","African Agricultural Technology Foundation",NA,"Nairobi",NA,"Kenya",NA,NA,NA,NA,NA,NA,NA,NA,NA
