journal,year,editor_id,first_name,middle_name,last_name,inst,unit,city,country
agronomy,2010,1,ardeshir,NA,adeli,usda us department of agriculture,ars genetics and precision agriculture research unit,,usa
agronomy,1989,1021,e,john,sadler,usda us department of agriculture,ars cswqru,columbia,usa
agronomy,2008,1061,francisco,NA,calderon,usda us department of agriculture,ars central great plains research station,akron,usa
agronomy,1996,1156,geoffrey,NA,brink,usda us department of agriculture,ars dairy forage research center,madison,usa
agronomy,2012,1177,guanglong,NA,feng,usda us department of agriculture,ars genetics and sustainable agriculture research unit,NA,usa
agronomy,2006,1178,gerald,NA,flerchinger,usda us department of agriculture,ars northwest watershed research center,boise,usa
agronomy,1990,1199,gary,NA,heichel,usda us department of agriculture,NA,martinsburg,usa
agronomy,1990,1266,gary,NA,varvel,usda us department of agriculture,ars,lincoln,usa
agronomy,2008,1270,gerard,NA,wall,usda us department of agriculture,us arid land agricultural research center,maricopa,usa
agronomy,2005,1289,h,arnold,bruns,usda us department of agriculture,ars 141 experiment station rd,stoneville,usa
agronomy,1989,13,armand,NA,bauer,usda us department of agriculture,ars northern great plain,mandan,usa
agronomy,2012,1303,hero,NA,gollany,usda us department of agriculture,ars cpcrc,adams,usa
agronomy,1994,1354,hugo,NA,rogers,usda us department of agriculture,ars natl. soil dynamics lab,auburn,usa
agronomy,2006,1367,haile,NA,tewolde,usda us department of agriculture,ars,NA,usa
agronomy,2009,1440,john,NA,angus,csiro commonwealth scientific and industrial research organisation,NA,stockinbingal,australia
agronomy,1997,1446,jeffrey,NA,baker,usda us department of agriculture,ars,big spring,usa
agronomy,1994,1461,john,NA,berdahl,usda us department of agriculture,ars,bismarck,usa
agronomy,1985,1479,joe,m,bradford,usda us department of agriculture,ars/sarl cons.& prod.sys,weslaco,usa
agronomy,1985,1627,jerry,l,hatfield,usda us department of agriculture,ars natl lab for agric & the environ,ames,usa
agronomy,2008,1651,jalal,NA,jabro,usda us department of agriculture,ars nparl,sidney,usa
agronomy,2008,1657,jane,NA,johnson,usda us department of agriculture,ars,morris,usa
agronomy,2005,1669,james,NA,kiniry,usda us department of agriculture,ars,moody,usa
agronomy,2013,1679,john,NA,kovar,usda us department of agriculture,ars national laboratory for ag and environment,ames,usa
agronomy,2013,171,andrew,NA,price,usda us department of agriculture,ars nat'l soil dynamic lab,auburn,usa
agronomy,1989,1806,jeffrey,NA,pedersen,usda us department of agriculture,ars,lincoln,usa
agronomy,1987,1816,james,NA,power,usda us department of agriculture,NA,lincoln,usa
agronomy,2002,1874,jeremy,NA,singer,usda us department of agriculture,NA,NA,usa
agronomy,2005,1890,jeffrey,NA,steiner,usda us department of agriculture,nifa,washington dc,usa
agronomy,2005,1910,judy,NA,tolk,usda us department of agriculture,NA,bushland,usa
agronomy,2005,1974,kipling,NA,balkcom,usda us department of agriculture,ars,auburn,usa
agronomy,2008,1985,kevin,NA,bronson,usda us department of agriculture,NA,maricopa,usa
agronomy,2003,2092,karamat,NA,sistani,usda us department of agriculture,NA,bowling green,usa
agronomy,2008,2099,kenneth,NA,sudduth,usda us department of agriculture,NA,columbia,usa
agronomy,2008,211,ariel,NA,szogi,usda us department of agriculture,ars costal plains soil water & plant re. ctr.,florence,usa
agronomy,2008,2115,kathleen,NA,yeater,usda us department of agriculture,NA,williamsburg,usa
agronomy,1986,2122,l,h,allen,usda us department of agriculture,ars-cmave,gainesville,usa
agronomy,2008,2198,liwang,NA,ma,usda us department of agriculture,ars rangeland resources and systems research unit,fort collins,usa
agronomy,2013,2554,marty,NA,schmer,usda us department of agriculture,ars amru,lincoln,usa
agronomy,2008,2589,matias,NA,vanotti,usda us department of agriculture,ars coastal plains research center,florence,usa
agronomy,2002,2591,merle,NA,vigil,usda us department of agriculture,"ars, central great plains res. station",akron,usa
agronomy,2004,265,bahman,NA,eghball,usda us department of agriculture,NA,lincoln,usa
agronomy,2003,2762,paul,NA,bartholomew,usda us department of agriculture,ars grazinglands research laboratory,el reno,usa
agronomy,2006,2764,philip,NA,bauer,usda us department of agriculture,ars coastal plains research center,florence,usa
agronomy,1996,2787,paul,NA,counce,university of arkansas,rice research & extension cntr,stuttgart,usa
agronomy,2008,279,barry,NA,glaz,usda us department of agriculture,ars,wellington,usa
agronomy,2008,2815,prasanna,NA,gowda,usda us department of agriculture,ars grazingland research laboratory,el reno,usa
agronomy,2003,2893,paul,NA,peterson,university of minnesota,plant agronomy and genetics,shoreview,usa
agronomy,2008,2940,patricia,NA,timper,usda us department of agriculture,ars,tifton,usa
agronomy,1985,3085,r,h,hart,usda us department of agriculture,ars-cmave,gainesville,usa
agronomy,1993,3128,robert,NA,lascano,usda us department of agriculture,ars-cmave,lubbock,usa
agronomy,2008,3177,russell,NA,nuti,usda us department of agriculture,ars nprl,dawson,usa
agronomy,1993,3204,ron,NA,rickman,usda us department of agriculture,NA,pendleton,usa
agronomy,2009,3238,ryan,NA,viator,usda us department of agriculture,ars,houma,usa
