last_name,first_name,editor_id,journal,first_init,n_names
agrawal,aneil,3847,evol,a,2
agrawal,anurag,2,amnat,a,2
baker,jeffrey,1446,agronomy,j,3
baker,john,3879,agronomy,j,3
baker,julia,3880,conbio,j,3
barbour,margaret,3917,newphyt,m,2
barbour,michael,2289,ecology,m,2
bennett,albert,16,evol,a,2
bennett,alison,3848,funecol,a,2
bennett,jerry,1460,agronomy,j,2
bennett,joseph,3882,jape,j,2
berry,pam,3927,jbiog,p,2
berry,paul,2767,bitr,p,2
briggs,christin,4005,condor,c,2
briggs,christopher,4006,condor,c,2
brown,james,1486,jbiog,j,4
brown,joel,3883,amnat,j,4
brown,jonathan,3884,evol,j,4
brown,justin,4010,condor,j,4
bullock,david,3864,agronomy,d,2
bullock,don,638,agronomy,d,2
carroll,c,3855,conbio,c,2
carroll,carlos,417,conbio,c,2
carroll,scott,3936,funecol,s,2
carroll,sean,3294,amnat,s,2
chen,charles,3856,agronomy,c,2
chen,chengci,422,agronomy,c,2
chen,jin,1508,biocon,j,2
chen,jiquan,3885,fem,j,2
clark,christopher,4040,auk,c,2
clark,colin,424,conbio,c,2
clark,david,650,bitr,d,3
clark,deborah,3866,ecology,d,3
clark,douglas,3865,conbio,d,3
clark,j,3887,conbio,j,2
clark,james,1512,arees,j,2
clark,richard,3019,najfm,r,2
clark,robert,4041,auk,r,2
curry,r,3031,najfm,r,2
curry,robert,4056,condor,r,2
dale,j,1535,newphyt,j,2
dale,james,4059,auk,j,2
doherty,paul,4074,condor,p,2
doherty,peter,2796,oecol,p,2
dyer,alan,60,agronomy,a,2
dyer,andrew,3849,jecol,a,2
edwards,marcia,3918,jzool,m,2
edwards,mary,2357,ecology,m,2
edwards,scott,3937,evol,s,2
edwards,steven,3319,najfm,s,2
fenchel,t,4107,marecol,t,2
fenchel,tom,3544,oikos,t,2
fisher,daniel,3867,evol,d,2
fisher,dwight,686,agronomy,d,2
fox,jeremy,3888,oikos,j,2
fox,john,1576,bitr,j,2
franklin,janet,3889,leco,j,2
franklin,jerry,1580,conbio,j,2
fry,jack,1584,agronomy,j,2
fry,james,3891,evol,j,2
fuller,rebecca,3065,evol,r,2
fuller,richard,3930,jape,r,2
grace,james,1604,jecol,j,2
grace,john,3893,funecol,j,2
griffith,simon,3938,jane,s,2
griffith,stephen,3343,agronomy,s,2
gross,katherine,3915,oecol,k,2
gross,kevin,2011,amnat,k,2
hahn,thomas,4141,auk,t,2
hahn,tom,4142,auk,t,2
hall,david,3868,evol,d,2
hall,donald,715,ecology,d,2
hall,james,1616,conbio,j,2
hall,john,3894,fem,j,2
hall,spencer,3346,amnat,s,2
hall,steve,3939,jane,s,2
handel,colleen,4147,auk,c,2
handel,collen,4148,auk,c,2
hansson,lars-anders,3916,oikos,l,2
hansson,lennart,2162,biocon,l,2
harrison,m,2399,biocon,m,2
harrison,maria,2398,newphyt,m,2
harwood,j,1626,biocon,j,2
harwood,james,1625,funecol,j,2
havel,j,3895,fem,j,2
havel,john,1628,ecology,j,2
hughes,robert,3102,najfm,r,2
hughes,roger,3931,jane,r,2
jackson,stephen,3365,ecology,s,2
jackson,sue,3940,funecol,s,2
johnson,barry,298,najfm,b,2
johnson,brett,3854,najfm,b,2
johnson,c,492,leco,c,2
johnson,christopher,3857,oecol,c,2
johnson,donn,3869,najfm,d,2
johnson,douglas,741,agronomy,d,2
jones,charles,493,agronomy,c,3
jones,clive,3859,funecol,c,3
jones,cynthia,3858,ajb,c,3
jones,james,3896,jane,j,3
jones,jason,4180,auk,j,3
jones,julia,1659,jape,j,3
kelly,j,3897,fem,j,3
kelly,jeff,4183,condor,j,3
kelly,john,1664,evol,j,3
keough,m,4185,marecol,m,2
keough,michael,2432,oecol,m,2
knick,steve,4194,condor,s,2
knick,steven,4195,condor,s,2
lee,carol,3860,evol,c,2
lee,charlotte,505,amnat,c,2
liu,haibo,1331,agronomy,h,2
liu,hong,3876,conbio,h,2
lynch,j,4231,auk,j,2
lynch,john,1730,jzool,j,2
marshall,diane,780,ecology,d,2
marshall,dustin,3870,oikos,d,2
marshall,jon,3898,jape,j,2
marshall,justin,1742,amnat,j,2
martin,jack,3899,agronomy,j,2
martin,john,1743,agronomy,j,2
martin,kathy,4245,auk,k,2
martin,kristen,4246,condor,k,2
martin,nicolas,2665,agronomy,n,2
martin,noland,3925,ajb,n,2
martin,tara,3598,conbio,t,2
martin,thomas,4247,auk,t,2
miller,j,3900,leco,j,2
miller,jeffrey,1768,agronomy,j,2
mock,d,4263,auk,d,2
mock,douglas,791,ecology,d,2
moore,jonathan,3901,oikos,j,2
moore,joslin,1774,jape,j,2
moore,p,4269,marecol,p,2
moore,peter,2869,jbiog,p,2
murphy,mary,4274,auk,m,2
murphy,michael,4275,auk,m,2
nagy,laszlo,2213,plantecol,l,2
nagy,laura,4279,condor,l,2
peters,david,818,najfm,d,2
peters,debra,3871,oecol,d,2
peterson,charles,3861,oecol,c,2
peterson,chris,553,jecol,c,2
richards,james,3903,funecol,j,2
richards,jennifer,1833,ajb,j,2
richardson,james,1834,jbiog,j,2
richardson,john,3904,jape,j,2
roberts,darrin,843,agronomy,d,2
roberts,david,3872,ecology,d,2
robertson,g,1253,ecology,g,2
robertson,gregory,4338,condor,g,2
robinson,scott,3455,conbio,s,2
robinson,sharon,4339,gcb,s,2
russell,andy,3852,jane,a,2
russell,ann,185,bitr,a,2
sakai,satoki,3941,plantecol,s,2
sakai,shoko,3460,bitr,s,2
sanderson,matt,2549,agronomy,m,2
sanderson,michael,3920,ajb,m,2
sargent,risa,3213,ajb,r,2
sargent,robert,3932,amnat,r,2
sauer,john,1854,condor,j,2
sauer,jonathan,3906,jbiog,j,2
schneider,sally,3463,agronomy,s,2
schneider,stephen,3942,conbio,s,2
schwartz,mark,3921,biocon,m,2
schwartz,michael,2555,conbio,m,2
smith,c,4383,marecol,c,2
smith,christopher,569,ecology,c,2
smith,danny,4384,agronomy,d,4
smith,david,3947,najfm,d,4
smith,david,4385,gcb,d,4
smith,david,870,ecology,d,4
smith,j,1877,najfm,j,3
smith,james,3907,condor,j,3
smith,jennifer,4387,condor,j,3
smith,richard,3221,agronomy,r,2
smith,robert,3933,jane,r,2
smith,stanley,3475,ecology,s,2
smith,susan,4390,condor,s,2
smith,terrence,3640,najfm,t,2
smith,thomas,3945,evol,t,2
steiner,jean,3908,agronomy,j,2
steiner,jeffrey,1890,agronomy,j,2
strauss,sharon,3482,evol,s,2
strauss,steven,3943,newphyt,s,2
taylor,andrea,3853,biocon,a,2
taylor,andrew,212,ecology,a,2
taylor,donavon,888,agronomy,d,2
taylor,douglas,3873,amnat,d,2
thomas,henry,1368,jape,h,2
thomas,howard,3877,newphyt,h,2
thompson,christopher,4421,condor,c,2
thompson,curtis,578,agronomy,c,2
thompson,j,1906,leco,j,2
thompson,john,3909,evol,j,2
travis,joseph,1912,oecol,j,2
travis,justin,3910,oikos,j,2
vanwilgenburg,steve,4439,condor,s,2
vanwilgenburg,steven,4440,condor,s,2
vlek,p,2947,agronomy,p,2
vlek,paul,3240,agronomy,p,2
webb,thompson,3655,jbiog,t,2
webb,tom,3946,jane,t,2
webster,mark,2603,evol,m,2
webster,michael,3924,evol,m,2
white,james,3911,plantecol,j,2
white,jeffrey,1950,agronomy,j,2
white,peter,2954,ecology,p,2
white,piran,3929,jane,p,2
wiens,j,3912,leco,j,2
wiens,john,1954,evol,j,2
williams,caroline,3863,funecol,c,2
williams,charles,594,evol,c,2
williams,d,3874,jecol,d,3
williams,david,919,ecology,d,3
williams,dick,3875,plantecol,d,3
williams,jack,3913,jbiog,j,2
williams,joseph,1957,ajb,j,2
williams,rob,3934,jzool,r,2
williams,robert,3251,agronomy,r,2
wilson,j,1959,najfm,j,2
wilson,jeremy,3914,jape,j,2
wright,s,3506,jecol,s,2
wright,stephanie,4467,condor,s,2
young,c,4470,marecol,c,2
young,c,602,leco,c,2
