inst,city,country,n
usda us department of agriculture,,usa,52
usda us department of agriculture,adams,usa,52
usda us department of agriculture,akron,usa,52
usda us department of agriculture,albany,usa,52
usda us department of agriculture,amarillo,usa,52
usda us department of agriculture,ames,usa,52
usda us department of agriculture,auburn,usa,52
usda us department of agriculture,baltimore,usa,52
usda us department of agriculture,beltsville,usa,52
usda us department of agriculture,big spring,usa,52
usda us department of agriculture,bismarck,usa,52
usda us department of agriculture,boise,usa,52
usda us department of agriculture,bowling green,usa,52
usda us department of agriculture,brookings,usa,52
usda us department of agriculture,bushland,usa,52
usda us department of agriculture,college station,usa,52
usda us department of agriculture,columbia,usa,52
usda us department of agriculture,columbus,usa,52
usda us department of agriculture,corvallis,usa,52
usda us department of agriculture,dawson,usa,52
usda us department of agriculture,el reno,usa,52
usda us department of agriculture,florence,usa,52
usda us department of agriculture,fort collins,usa,52
usda us department of agriculture,fort pierce,usa,52
usda us department of agriculture,gainesville,usa,52
usda us department of agriculture,greensboro,usa,52
usda us department of agriculture,greenville,usa,52
usda us department of agriculture,houma,usa,52
usda us department of agriculture,kimberly,usa,52
usda us department of agriculture,lincoln,usa,52
usda us department of agriculture,lubbock,usa,52
usda us department of agriculture,madison,usa,52
usda us department of agriculture,mandan,usa,52
usda us department of agriculture,maricopa,usa,52
usda us department of agriculture,marshfield,usa,52
usda us department of agriculture,martinsburg,usa,52
usda us department of agriculture,moody,usa,52
usda us department of agriculture,morris,usa,52
usda us department of agriculture,myersville,usa,52
usda us department of agriculture,oklahoma city,usa,52
usda us department of agriculture,pendleton,usa,52
usda us department of agriculture,prosser,usa,52
usda us department of agriculture,sidney,usa,52
usda us department of agriculture,stoneville,usa,52
usda us department of agriculture,stuttgart,usa,52
usda us department of agriculture,tifton,usa,52
usda us department of agriculture,washington dc,usa,52
usda us department of agriculture,watkinsville,usa,52
usda us department of agriculture,wellington,usa,52
usda us department of agriculture,weslaco,usa,52
usda us department of agriculture,williamsburg,usa,52
usda us department of agriculture,NA,usa,52
NA,NA,australia,22
NA,NA,canada,22
NA,NA,france,22
NA,NA,germany,22
NA,NA,japan,22
NA,mankato,philippines,22
NA,NA,qatar,22
NA,NA,singapore,22
NA,NA,south africa,22
NA,NA,switzerland,22
NA,NA,united kingdom,22
NA,argyle,usa,22
NA,biggs,usa,22
NA,bremerton,usa,22
NA,logan,usa,22
NA,madison,usa,22
NA,minneapolis,usa,22
NA,pike road,usa,22
NA,st george,usa,22
NA,watkinsville,usa,22
NA,NA,usa,22
NA,NA,NA,22
unaffiliated,invergowrie,australia,11
unaffiliated,toronto,canada,11
unaffiliated,bussiere poitevine,france,11
unaffiliated,NA,germany,11
