last_name,first_name,inst,year,journal
abrams,peter,university of british columbia vancouver,1994,evol
abrams,peter,university of minnesota twin cities,1995,evol
abrams,peter,university of maryland,1996,evol
abrams,peter,university of toronto,2000,ecology
ackerly,david,harvard university,1995,ajb
ackerly,david,stanford university,1997,ajb
ackerly,david,university of california berkeley,2006,newphyt
adler,peter,utah state university,2013,ecology
adler,peter,university of massachusetts amherst,2014,ecology
agrawal,anurag,university of toronto,2002,ecology
agrawal,anurag,cornell university,2011,amnat
agren,jon,university of umea,1999,ecology
agren,jon,university of uppsala,2006,evol
akcakaya,resit,applied biomathematics,2005,conbio
akcakaya,resit,suny stony brook,2009,conbio
andelman,sandy,national center for ecological analysis and synthesis,2001,conbio
andelman,sandy,federal research center for nature conservation and landscape ecology,2005,biocon
andelman,sandy,university of california santa barbara,2006,biocon
anderson,christopher,NA,2006,najfm
anderson,christopher,conicet austral center for scientific research,2014,conbio
anderson,christopher,university of washington,2014,najfm
anderson,d,university of wisconsin madison,2007,leco
anderson,d,manaaki whenua landcare research,2009,leco
anderson,marti,university of auckland,2008,ecography
anderson,marti,massey university,2010,ecography
angermeier,paul,NA,1993,najfm
angermeier,paul,virginia polytechnic institute and state university,2001,conbio
angilletta,michael,indiana state university,2006,funecol
angilletta,michael,arizona state university,2011,amnat
araujo,miguel,university of oxford,2006,ecography
araujo,miguel,national museum of natural sciences,2006,jbiog
armbruster,w,university of alaska fairbanks,1996,ecology
armbruster,w,norwegian university of science and technology,1997,ecology
armesto,juan,universidad de chile,1996,plantecol
armesto,juan,pontificia universidad catolica de chile,2014,oecol
arnold,todd,delta waterfowl foundation,1998,auk
arnold,todd,ducks ulimited canada,2000,auk
arnold,todd,university of minnesota twin cities,2013,auk
aronson,richard,dauphin island sea lab,2008,ecology
aronson,richard,florida institute of technology,2009,ecology
atkin,owen,university of york,2001,funecol
atkin,owen,australian national university,2008,newphyt
austin,mike,csiro land and water,1985,plantecol
austin,mike,csiro wildlife and ecology,1988,jecol
bagchi,robert,university of oxford,2011,bitr
bagchi,robert,eth swiss federal institute of technology zurich,2013,bitr
baldocchi,dennis,noaa,1997,gcb
baldocchi,dennis,university of california berkeley,2002,gcb
baldwin,ian,university of buffalo,1996,oecol
baldwin,ian,max planck institute for chemical ecology,1998,oecol
baraloto,christopher,umr ecofog,2012,bitr
baraloto,christopher,inra national institute for agricultural research,2015,jape
