"JOURNAL","YEAR","VOLUME","ISSUE","editor_id","FIRST_NAME","MIDDLE_NAME","LAST_NAME","TITLE","CATEGORY","CATEGORY.x","INST","OLD_INST","INST.2","UNIT","CITY","STATE","COUNTRY","COUNTRY_Prior_Class","geo.code","geo.code_Prior_Class","NOTES","GENDER","X"
"MARECOL",1985,6,1,NA,"A",NA,"Zhirmunsky","Editorial Board",NA,NA,"",NA,NA,"","Vladivostok",NA,"",NA,NA,NA,NA,NA,""
"MARECOL",1985,6,1,NA,"T",NA,"Smayda","Editorial Board",NA,NA,"University of Rhode Island",NA,NA,"Graduate School of Oceanography","Kingston","RI","USA",NA,NA,NA,NA,NA,NA
"MARECOL",1985,6,1,NA,"M",NA,"Sara","Editorial Board",NA,NA,"Universita di Genova",NA,NA,"Istituto di Zoologia","Genova",NA,"Italy",NA,NA,NA,NA,NA,NA
"MARECOL",1985,6,1,NA,"P",NA,"Sale","Editorial Board",NA,NA,"University of Sydney",NA,NA,"School of Biological Sciences","Sydney","N.S.W.","Australia",NA,NA,NA,NA,NA,NA
"MARECOL",1985,6,1,NA,"K",NA,"Rutzler","Editorial Board",NA,NA,"SEIDENSTZICKER& Kleiman = Smithsonian National Zoological Park, Labandeira: Smithsonian National Museum of Natural History",NA,NA,"","Washington DC",NA,"USA",NA,NA,NA,NA,NA,NA
"MARECOL",1985,6,1,NA,"F","D","Por","Editorial Board",NA,NA,"Hebrew University of Jerusalem",NA,NA,"Department of Zoology",NA,"Jerusalem","Israel",NA,NA,NA,NA,NA,NA
"MARECOL",1985,6,1,NA,"R",NA,"Margalef","Editorial Board",NA,NA,"University of Barcelona",NA,NA,"Dept. of Ecology","Barcelona",NA,"Spain",NA,NA,NA,NA,NA,NA
"MARECOL",1985,6,1,NA,"T",NA,"Kikuchi","Editorial Board",NA,NA,"Kyushu Unniversity",NA,NA,"Amakusa Marine Biological Laboratory","Kumamoto",NA,"Japan",NA,NA,NA,NA,NA,NA
"MARECOL",1985,6,1,NA,"T","S","Hopkins","Editorial Board",NA,NA,"Brookhaven National Laboratory",NA,NA,"Dept. of Energy and Environment","Upton","NY","USA",NA,NA,NA,NA,NA,NA
"MARECOL",1985,6,1,NA,"R",NA,"Hessler","Editorial Board",NA,NA,"University of California San Diego",NA,NA,"Scripps Institution of Oceanography","La Jolla","CA","USA",NA,NA,NA,NA,NA,NA
"MARECOL",1985,6,1,NA,"Y",NA,"Halim","Editorial Board",NA,NA,"Alexandra University",NA,NA,"Dept. of Oceanography",NA,"Alexandria","Egypt",NA,NA,NA,NA,NA,NA
"MARECOL",1985,6,1,NA,"R","W","Grigg","Editorial Board",NA,NA,"University of Hawaii Manoa",NA,NA,"Hawaii Institute of Marine Biology",NA,"Hawaii","USA",NA,NA,NA,NA,NA,NA
"MARECOL",1985,6,1,NA,"J","S","Gray","Editorial Board",NA,NA,"University of Oslo",NA,NA,"Dept. for Zoology and Marine Chemistry, Institute for Marine Biology",NA,"Oslo","Norway",NA,NA,NA,NA,NA,NA
"MARECOL",1985,6,1,NA,"T",NA,"Gamulin","Editorial Board",NA,NA,"Biological Institute",NA,NA,NA,NA,"Dubrovnik","Yugoslavia",NA,NA,NA,NA,NA,NA
"MARECOL",1985,6,1,NA,"H",NA,"Fricke","Editorial Board",NA,NA,"Haus Nr.9",NA,NA,NA,NA,NA,"Germany",NA,NA,NA,NA,NA,NA
"MARECOL",1985,6,1,NA,"T",NA,"Fenchel","Editorial Board",NA,NA,"University of Aarhus",NA,NA,"Institute of Ecology and Genetics",NA,"Aarhus","Denmark",NA,NA,NA,NA,NA,NA
"MARECOL",1985,6,1,NA,"P",NA,"Colantoni","Editorial Board",NA,NA,"Laboratorio di Geologia Marina del C.N.R.",NA,NA,NA,NA,"Bologna","Italy",NA,NA,NA,NA,NA,NA
