INST,COUNTRY,editor_id
agriculture and agri food canada,Canada,313
agriculture and agri food canada,Canada,474
agriculture and agri food canada,Canada,1149
agriculture and agri food canada,Canada,1522
agriculture and agri food canada,Canada,2643
agriculture and agri food canada,Canada,2662
agriculture and agri food canada,Canada,2698
agriculture and agri food canada,Canada,2710
agriculture and agri food canada,Canada,2908
agriculture and agri food canada,Canada,3676
beaverlodge research farm,Canada,2194
brock university,Canada,1765
canadian forest products ltd,Canada,704
canadian forest service,Canada,1079
canadian forest service,Canada,1829
canadian forest service,Canada,2970
canadian wildlife service,Canada,NA
carleton university,Canada,1230
carleton university,Canada,2144
carleton university,Canada,2634
carleton university,Canada,3638
concordia university,Canada,682
concordia university,Canada,1653
dalhousie university,Canada,1044
dalhousie university,Canada,1648
dalhousie university,Canada,2014
dalhousie university,Canada,2422
delta waterfowl foundation,Canada,NA
ducks ulimited canada,Canada,NA
environment canada,Canada,NA
environment canada national hydrology research center,Canada,NA
environment canada wildlife research east,Canada,NA
lakehead university,Canada,794
laval university,Canada,2127
mcgill university,Canada,88
mcgill university,Canada,101
mcgill university,Canada,421
mcgill university,Canada,709
mcgill university,Canada,847
mcgill university,Canada,864
mcgill university,Canada,926
mcgill university,Canada,1824
mcgill university,Canada,1949
mcgill university,Canada,2339
mcgill university,Canada,2416
mcgill university,Canada,2444
mcgill university,Canada,2915
mcmaster university,Canada,1301
memorial university of newfoundland,Canada,3391
memorial university of newfoundland,Canada,3772
memorial university of newfoundland,Canada,NA
mount allison university,Canada,1450
mount st vicent university,Canada,1214
newfoundland forestry center,Canada,178
ontario ministry of natural resources,Canada,NA
pacific agrifood research centre,Canada,1522
queens university,Canada,39
queens university,Canada,117
queens university,Canada,440
queens university,Canada,738
queens university,Canada,2119
queens university,Canada,2933
queens university,Canada,3160
queens university,Canada,3272
queens university,Canada,3533
royal ontario museum,Canada,NA
simon fraser university,Canada,157
simon fraser university,Canada,257
simon fraser university,Canada,345
simon fraser university,Canada,959
simon fraser university,Canada,2400
