index,Name1,Name2,Name_sim,Name_dist,
1944,usfs pacific southest research station,usfs pacific southwest research station,0.974358974,1,*
1560,university of maine,university of mainz,0.947368421,1,
812,memorial university of newfoundland,memorial university of newfoundland,0.942857143,2,*
1012,southeast missouri state university,southwest missouri state university,0.942857143,2,
631,institute for terrestrial ecology,institute of terrestrial ecology,0.939393939,2,*
633,institute of terrestrial ecology,institute of terrestrial ecology,0.9375,2,*
898,north dakota state university,south dakota state university,0.931034483,2,
902,northern illinois university,southern illinois university,0.928571429,2,
1627,university of north carolina,university of south carolina,0.928571429,2,
556,eastern michigan university,western michigan university,0.925925926,2,
1631,university of north dakota,university of south dakota,0.923076923,2,
1166,universite montpellier,universite montpellier 2,0.916666667,2,
886,netherlands institute of ecology,netherlands institute of technology,0.914285714,3,
901,northeastern university,northwestern university,0.913043478,2,
632,institute for terrestrial ecology,institute of terrestrial ecology,0.909090909,3,*
1210,university of arkansas,university of kansas,0.909090909,2,
1163,universitat osnabruck,universitat osnabrück,0.904761905,2,*
1245,university of bologna,university of cologne,0.904761905,2,
1162,universidade federal de alagoas,universidade federal de lavras,0.903225806,3,
55,biological institute,zoological institute,0.9,2,
1218,university of bergen,university of bern,0.9,2,
1306,university of essex,university of sussex,0.9,2,
1499,university of leiden,university of leuven,0.9,2,
1605,university of munich,university of zurich,0.9,2,
1315,university of ghent,university of kent,0.894736842,2,
1567,university of maine,university of sains,0.894736842,2,
1574,university of mainz,university of sains,0.894736842,2,
1673,university of paris,university of pavia,0.894736842,2,
1699,university of tartu,university of turku,0.894736842,2,
53,beijing forestry university,nanjing forestry university,0.888888889,3,
1228,university of bern,university of bonn,0.888888889,2,
1338,university of hull,university of oulu,0.888888889,2,
1340,university of hull,university of ulm,0.888888889,2,
1647,university of oslo,university of oulu,0.888888889,2,
1667,university of oulu,university of ulm,0.888888889,2,
1519,university of london college imperial college of science and technology,university of london imperial college of science and technology,0.887323944,8,*
622,imperial college london,imperial college of london,0.884615385,3,*
49,bangor university,baylor university,0.882352941,2,
61,brown university,brown university ,0.882352941,2,*
814,michigan state university,wichita state university,0.88,3,
1015,sw texas state university,texas state university,0.88,3,*
59,brock university,brown university,0.875,2,
1496,university of lancaster,university of manchester,0.875,3,
1579,university of manchester,university of rochester,0.875,3,
1679,university of queensland,university queensland,0.875,3,*
570,florida institute of technology,georgia institute of technology,0.870967742,4,
1161,universidade federal de alagoas,universidade federal de goias,0.870967742,4,
1288,university of california davis,university of california irvine,0.870967742,4,
89,canadian forest service,indian forest service,0.869565217,3,
1320,university of gottingen,university of groningen,0.869565217,3,
1495,university of lancaster,university of leicester,0.869565217,3,
620,idaho state university,utah state university,0.863636364,3,
1177,university of aberdeen,university of bergen,0.863636364,3,
1205,university of alberta,university of canberra,0.863636364,3,
1211,university of auckland,university of iceland,0.863636364,3,
1327,university of hamburg,university of salzburg,0.863636364,3,
1494,university of konstanz,university of montana,0.863636364,3,
1575,university of malaysia,university of alaska,0.863636364,3,
1596,university of montana,university of montreal,0.863636364,3,
1675,university of pretoria,university of victoria,0.863636364,3,
1689,university of salzburg,university of wurzburg,0.863636364,3,
1013,southern illinois university,eastern illinois university,0.857142857,4,
1194,university of alabama,university of alaska,0.857142857,3,
1301,university of dresden,university of bremen,0.857142857,3,
1302,university of dresden,university of giessen,0.857142857,3,
1303,university of dresden,university of leiden,0.857142857,3,
1318,university of giessen,university of essex,0.857142857,3,
1319,university of glasgow,university glasgow,0.857142857,3,
1504,university of lincoln,university of london,0.857142857,3,
1597,university of montana,university of ottawa,0.857142857,3,
1681,university of reading,university of regina,0.857142857,3,
1712,university of toronto,university of tromso,0.857142857,3,
1289,university of california irvine,university of california riverside,0.852941176,5,
1231,university of bern,university of bremen,0.85,3,
1259,university of bonn,university of london,0.85,3,
1497,university of leeds,university of leiden,0.85,3,
1525,university of lund,university of dundee,0.85,3,
1530,university of lund,university of london,0.85,3,
1547,university of lyon,university of london,0.85,3,
1633,university of oregon,university of regina,0.85,3,
1661,university of otago,university of oregon,0.85,3,
1290,university of california merced,university of california berkeley,0.848484848,5,
1330,university of hawaii hilo,university of hawaii manoa,0.846153846,4,
2081,western cotton research lab,usda western cotton research lab,0.84375,5,*
1291,university of california santa cruz,university of california santa barbara,0.842105263,6,
1339,university of hull,university of tulsa,0.842105263,3,
1527,university of lund,university of leeds,0.842105263,3,
1666,university of oulu,university of tulsa,0.842105263,3,
1720,university of tours,university of tulsa,0.842105263,3,
1721,university of tours,university of turku,0.842105263,3,
1797,university of ulm,university of tulsa,0.842105263,3,
1821,university of utah,university of idaho,0.842105263,3,
1822,university of utah,university of otago,0.842105263,3,
1892,university of york,university of turku,0.842105263,3,
545,desert research institute,forest research institute,0.84,4,
576,florida state university,colorado state university,0.84,4,
419,china agricultural university,nanjing agricultural university,0.838709677,5,
555,durham university,fordham university,0.833333333,3,
611,idaho state university,indiana state university,0.833333333,4,
626,indiana state university,montana state university,0.833333333,4,
755,iowa state university,arizona state university,0.833333333,4,
976,queen’s university,queens university,0.833333333,3,
