JOURNAL,YEAR,editor_id,FIRST_NAME,MIDDLE_NAME,LAST_NAME,INST,UNIT,CITY,COUNTRY,,,,,,,,,,,
OIKOS,2008,898,diego,NA,vazquez,conicet cct mendoza,iadiza,mendoza,Argentina,,DATAFILE$INST[DATAFILE$editor_id==,898," & JOURNAL==""",OIKOS,""" & YEAR==",2008,"]<-""",conicet cct mendoza,"""","DATAFILE$INST[DATAFILE$editor_id==898 & JOURNAL==""OIKOS"" & YEAR==2008]<-""conicet cct mendoza"""
CONDOR,2010,NA,juan,i,areta,conicet ibigeo,,NA,Argentina,,DATAFILE$INST[DATAFILE$LAST_NAME==,"areta"""," & JOURNAL==""",OIKOS,""" & YEAR==",2010,"]<-""",conicet ibigeo,"""","DATAFILE$INST[DATAFILE$LAST_NAME==areta"" & JOURNAL==""OIKOS"" & YEAR==2010]<-""conicet ibigeo"""
PLANTECOL,1989,2340,michael,b,dale,csiro sustainable ecosystems,,brisbane,Australia,,DATAFILE$INST[DATAFILE$editor_id==,2340," & JOURNAL==""",OIKOS,""" & YEAR==",1989,"]<-""",csiro sustainable ecosystems,"""","DATAFILE$INST[DATAFILE$editor_id==2340 & JOURNAL==""OIKOS"" & YEAR==1989]<-""csiro sustainable ecosystems"""
FEM,1984,1693,joe,j,landsberg,csiro forest research,,canberra,Australia,,DATAFILE$INST[DATAFILE$editor_id==,1693," & JOURNAL==""",OIKOS,""" & YEAR==",1984,"]<-""",csiro forest research,"""","DATAFILE$INST[DATAFILE$editor_id==1693 & JOURNAL==""OIKOS"" & YEAR==1984]<-""csiro forest research"""
JAPE,2007,196,andy,NA,sheppard,csiro entomology,,canberra,Australia,,DATAFILE$INST[DATAFILE$editor_id==,196," & JOURNAL==""",OIKOS,""" & YEAR==",2007,"]<-""",csiro entomology,"""","DATAFILE$INST[DATAFILE$editor_id==196 & JOURNAL==""OIKOS"" & YEAR==2007]<-""csiro entomology"""
JECOL,2010,NA,peter,NA,thrall,csiro plant industry,,canberra,Australia,,DATAFILE$INST[DATAFILE$LAST_NAME==,"thrall"""," & JOURNAL==""",OIKOS,""" & YEAR==",2010,"]<-""",csiro plant industry,"""","DATAFILE$INST[DATAFILE$LAST_NAME==thrall"" & JOURNAL==""OIKOS"" & YEAR==2010]<-""csiro plant industry"""
PLANTECOL,1985,2281,mike,p,austin,csiro land and water,,canberra,Australia,,DATAFILE$INST[DATAFILE$editor_id==,2281," & JOURNAL==""",OIKOS,""" & YEAR==",1985,"]<-""",csiro land and water,"""","DATAFILE$INST[DATAFILE$editor_id==2281 & JOURNAL==""OIKOS"" & YEAR==1985]<-""csiro land and water"""
PLANTECOL,1989,2868,peter,r,minchin,csiro land and water,,canberra,Australia,,DATAFILE$INST[DATAFILE$editor_id==,2868," & JOURNAL==""",OIKOS,""" & YEAR==",1989,"]<-""",csiro land and water,"""","DATAFILE$INST[DATAFILE$editor_id==2868 & JOURNAL==""OIKOS"" & YEAR==1989]<-""csiro land and water"""
CONBIO,2010,3598,tara,NA,martin,csiro sustainable ecosystems,,dutton park,Australia,,DATAFILE$INST[DATAFILE$editor_id==,3598," & JOURNAL==""",OIKOS,""" & YEAR==",2010,"]<-""",csiro sustainable ecosystems,"""","DATAFILE$INST[DATAFILE$editor_id==3598 & JOURNAL==""OIKOS"" & YEAR==2010]<-""csiro sustainable ecosystems"""
FEM,2003,392,chris,l,beadle,csiro forest research,,hobart,Australia,,DATAFILE$INST[DATAFILE$editor_id==,392," & JOURNAL==""",OIKOS,""" & YEAR==",2003,"]<-""",csiro forest research,"""","DATAFILE$INST[DATAFILE$editor_id==392 & JOURNAL==""OIKOS"" & YEAR==2003]<-""csiro forest research"""
