JOURNAL,YEAR,editor_id,FIRST_NAME,MIDDLE_NAME,LAST_NAME,,INST,,INST FIXED,UNIT,CITY,COUNTRY,,,,,,,,,,,
OIKOS,2008,898,diego,NA,vazquez,vazquez,conicet consejo nacional de investigaciones cientificas y tecnicas,,conicet cct mendoza,iadiza,mendoza,Argentina,,both$INST[both$editor_id==,898," & both$INST==""",conicet consejo nacional de investigaciones cientificas y tecnicas,"""",,"]<-""",conicet cct mendoza,"""","both$INST[both$editor_id==898 & both$INST==""conicet consejo nacional de investigaciones cientificas y tecnicas""]<-""conicet cct mendoza"""
CONDOR,2010,NA,juan,i,areta,areta,conicet consejo nacional de investigaciones cientificas y tecnicas,,conicet ibigeo,,NA,Argentina,,both$INST[both$LAST_NAME==,"""areta"""," & both$INST==""",conicet consejo nacional de investigaciones cientificas y tecnicas,"""",,"]<-""",conicet ibigeo,"""","both$INST[both$LAST_NAME==""areta"" & both$INST==""conicet consejo nacional de investigaciones cientificas y tecnicas""]<-""conicet ibigeo"""
PLANTECOL,1989,2340,michael,b,dale,dale,csiro commonwealth scientific and industrial research organisation,,csiro sustainable ecosystems,,brisbane,Australia,,both$INST[both$editor_id==,2340," & both$INST==""",csiro commonwealth scientific and industrial research organisation,"""",,"]<-""",csiro sustainable ecosystems,"""","both$INST[both$editor_id==2340 & both$INST==""csiro commonwealth scientific and industrial research organisation""]<-""csiro sustainable ecosystems"""
FEM,1984,1693,joe,j,landsberg,landsberg,csiro commonwealth scientific and industrial research organisation,,csiro forest research,,canberra,Australia,,both$INST[both$editor_id==,1693," & both$INST==""",csiro commonwealth scientific and industrial research organisation,"""",,"]<-""",csiro forest research,"""","both$INST[both$editor_id==1693 & both$INST==""csiro commonwealth scientific and industrial research organisation""]<-""csiro forest research"""
JAPE,2007,196,andy,NA,sheppard,sheppard,csiro commonwealth scientific and industrial research organisation,,csiro entomology,,canberra,Australia,,both$INST[both$editor_id==,196," & both$INST==""",csiro commonwealth scientific and industrial research organisation,"""",,"]<-""",csiro entomology,"""","both$INST[both$editor_id==196 & both$INST==""csiro commonwealth scientific and industrial research organisation""]<-""csiro entomology"""
JECOL,2010,NA,peter,NA,thrall,thrall,csiro commonwealth scientific and industrial research organisation,,csiro plant industry,,canberra,Australia,,both$INST[both$LAST_NAME==,"""thrall"""," & both$INST==""",csiro commonwealth scientific and industrial research organisation,"""",,"]<-""",csiro plant industry,"""","both$INST[both$LAST_NAME==""thrall"" & both$INST==""csiro commonwealth scientific and industrial research organisation""]<-""csiro plant industry"""
PLANTECOL,1985,2281,mike,p,austin,austin,csiro commonwealth scientific and industrial research organisation,,csiro land and water,,canberra,Australia,,both$INST[both$editor_id==,2281," & both$INST==""",csiro commonwealth scientific and industrial research organisation,"""",,"]<-""",csiro land and water,"""","both$INST[both$editor_id==2281 & both$INST==""csiro commonwealth scientific and industrial research organisation""]<-""csiro land and water"""
PLANTECOL,1989,2868,peter,r,minchin,minchin,csiro commonwealth scientific and industrial research organisation,,csiro land and water,,canberra,Australia,,both$INST[both$editor_id==,2868," & both$INST==""",csiro commonwealth scientific and industrial research organisation,"""",,"]<-""",csiro land and water,"""","both$INST[both$editor_id==2868 & both$INST==""csiro commonwealth scientific and industrial research organisation""]<-""csiro land and water"""
CONBIO,2010,3598,tara,NA,martin,martin,csiro commonwealth scientific and industrial research organisation,,csiro sustainable ecosystems,,dutton park,Australia,,both$INST[both$editor_id==,3598," & both$INST==""",csiro commonwealth scientific and industrial research organisation,"""",,"]<-""",csiro sustainable ecosystems,"""","both$INST[both$editor_id==3598 & both$INST==""csiro commonwealth scientific and industrial research organisation""]<-""csiro sustainable ecosystems"""
FEM,2003,392,chris,l,beadle,beadle,csiro commonwealth scientific and industrial research organisation,,csiro forest research,,hobart,Australia,,both$INST[both$editor_id==,392," & both$INST==""",csiro commonwealth scientific and industrial research organisation,"""",,"]<-""",csiro forest research,"""","both$INST[both$editor_id==392 & both$INST==""csiro commonwealth scientific and industrial research organisation""]<-""csiro forest research"""
