JOURNAL,YEAR,editor_id,FIRST_NAME,MIDDLE_NAME,LAST_NAME,INST,NOTES,
funecol,2006,430,christian,NA,damgaard,,,
funecol,2009,430,christian,NA,damgaard,,,
gcb,1995,2287,marilyn,NA,ball,Australian National University,,
gcb,2007,2287,marilyn,NA,ball,Australian National University,,
gcb,1995,1052,fakhri,NA,bazzaz,Harvard University,,
gcb,2003,1052,fakhri,NA,bazzaz,Harvard University,,
gcb,1995,TBD,max,NA,beran,"Institute of Hydrology,",now the NERC Centre for Ecology and Hydrology,
gcb,2001,TBD,max,NA,beran,"Institute of Hydrology,",now the NERC Centre for Ecology and Hydrology,
gcb,1995,TBD,tom,h,blackburn,ÊAARHUS UNIV,,
gcb,2007,TBD,tom,h,blackburn,ÊAARHUS UNIV,,
gcb,1995,TBD,bill,NA,block,British Antarctic Survey,,
gcb,2002,TBD,bill,NA,block,British Antarctic Survey,,
gcb,1995,TBD,gordan,NA,bonan,National Center Atmospheric Research,,
gcb,2007,TBD,gordan,NA,bonan,National Center Atmospheric Research,,
gcb,1995,3290,sandra,NA,brown,"US Environmental Protection Agency, National Health and Environmental Effects Research Laboratory, Western Ecology Division,",corvallis,
gcb,2007,3290,sandra,NA,brown,"US Environmental Protection Agency, National Health and Environmental Effects Research Laboratory, Western Ecology Division,",corvallis,
gcb,1995,TBD,doug,NA,capone,ÊCenter for Environmental Science of the University of Maryland,through 1999,"NOTE: journal lists as hesapeak md the ehole time, but he was an adjunct at center after he left. Adjunct 1999-2006. Also his CV says only oin ed bvoard 2000-2006É"
gcb,2007,TBD,doug,NA,capone,USC (calif),2000-2007,"NOTE: journal lists as hesapeak md the ehole time, but he was an adjunct at center after he left. Adjunct 1999-2006. Also his CV says only oin ed bvoard 2000-2006É"
gcb,1995,TBD,bruce,e,chalker,Australian Institute of Marine Science,,
gcb,2007,TBD,bruce,e,chalker,Australian Institute of Marine Science,,
gcb,1995,1512,james,s,clark,Duke,CV says only on ed board from 1994-2002,
gcb,2007,1512,james,s,clark,Duke,CV says only on ed board from 1994-2002,
gcb,1995,TBD,roger,c,dahlman,North American Carbon Program,,
gcb,2007,TBD,roger,c,dahlman,North American Carbon Program,,
gcb,1995,263,bert,g,drake,Smithsonian Environmental Research Center,,
gcb,2007,263,bert,g,drake,Smithsonian Environmental Research Center,,
gcb,1996,TBD,zvy,NA,dubinsky,Bar Ilan University,,
gcb,2007,TBD,zvy,NA,dubinsky,Bar Ilan University,,
gcb,1995,TBD,inez,NA,fung,university of victoria ,"until 1998, then uc berkeley BUT ED BOArd lists as canada the whole time",
gcb,2003,TBD,inez,NA,fung,uc berkeley,after 98,
gcb,1995,1398,ilkka,NA,hanski,University of Helsinki,,
gcb,2007,1398,ilkka,NA,hanski,University of Helsinki,,
gcb,1995,100,ann,NA,henderson-sellers,MACQUARIE UNIV,,
gcb,2007,100,ann,NA,henderson-sellers,MACQUARIE UNIV,,
gcb,1995,3566,tadaki,NA,hirose,Tohoku University,,
gcb,2007,3566,tadaki,NA,hirose,Tohoku University,,
gcb,1995,TBD,patrick,NA,holligan,University of Southampton,,
gcb,2007,TBD,patrick,NA,holligan,University of Southampton,,
gcb,2002,2840,paul,NA,jarvis,University of Edinburgh,,
gcb,2007,2840,paul,NA,jarvis,University of Edinburgh,,
gcb,1995,TBD,r,l,jefferies,University of Toronto,,
gcb,2007,TBD,r,l,jefferies,University of Toronto,,
gcb,1995,2845,peter,NA,kareiva,university of washington seattle,,
gcb,2003,2845,peter,NA,kareiva,university of washington seattle,,
gcb,1995,302,bruce,a,kimball,"United States Department of Agriculture (USDA)ÊUSDA ARS, US Water Conservat Lab",,
gcb,2007,302,bruce,NA,kimball,"United States Department of Agriculture (USDA)ÊUSDA ARS, US Water Conservat Lab",,
gcb,1995,TBD,roger,NA,knowles,McGill University,,
gcb,2007,TBD,roger,NA,knowles,McGill University,,
gcb,2002,307,beverly,e,law,mot on ed board,,
gcb,1995,1711,jeffrey,NA,levinton,suny stony brook,,
gcb,2007,1711,jeffrey,NA,levinton,suny stony brook,,
gcb,1999,1719,jon,NA,lloyd,Max Planck Inst Biogeochem,,
gcb,2007,1719,jon,NA,lloyd,Max Planck Inst Biogeochem,,
gcb,1995,2864,pamela,NA,matson,uc berkeley,,
gcb,2007,2864,pamela,NA,matson,uc berkeley,,
gcb,1997,TBD,franco,NA,miglietta,CNRÊIstituto di Biometeorologia IBIMET,,
gcb,2007,TBD,franco,NA,miglietta,CNRÊIstituto di Biometeorologia IBIMET,,
gcb,1995,TBD,hal,NA,mooney,stanford university,,
gcb,2003,TBD,hal,NA,mooney,stanford university,,
gcb,1995,TBD,marianne,NA,mousseau,,,
gcb,1999,TBD,marianne,NA,mousseau,,,
gcb,1995,TBD,jc,NA,murrell,University of Warwick,split j and c,
gcb,2007,TBD,jc,NA,murrell,University of Warwick,,
gcb,1997,TBD,maria,NA,piedade,INPA,,
gcb,2007,TBD,maria,NA,piedade,INPA,,
gcb,1995,1354,hugo,NA,rogers,"USDA ARS, Natl Soil Dynam Lab, Auburn, ALÊ",,
gcb,2007,1354,hugo,NA,rogers,"USDA ARS, Natl Soil Dynam Lab, Auburn, ALÊ",,
gcb,1996,2737,osvaldo,NA,sala,University of Buenos Aires,,
gcb,2002,2737,osvaldo,NA,sala,University of Buenos Aires,,
gcb,1996,TBD,david,NA,schimel,_National Center Atmospheric Research (NCAR) - USA,"front matter says Jenna, but makes no sense",
gcb,2007,TBD,david,NA,schimel,_National Center Atmospheric Research (NCAR) - USA,,
gcb,1996,3794,william,NA,schlesinger,Duke University,,
gcb,1999,3794,william,NA,schlesinger,Duke University,,
gcb,1996,TBD,robert,NA,scholes,University of Witwatersrand,,
gcb,2007,TBD,robert,NA,scholes,University of Witwatersrand,,
gcb,1996,TBD,hank,h,schugart,university of virginia,,
gcb,2007,TBD,hank,h,schugart,university of virginia,,
gcb,1996,TBD,e-d,NA,schulze,University of Bayreuth,,
gcb,2007,TBD,e-d,NA,schulze,"Max Planck Inst Biogeochem,",after 1999,
gcb,1996,TBD,ted,NA,smayda,University of Rhode Island,,
gcb,2007,TBD,ted,NA,smayda,University of Rhode Island,,
gcb,1996,TBD,keith,NA,smith,University of Edinburgh,,
gcb,2007,TBD,keith,NA,smith,University of Edinburgh,,
gcb,1996,TBD,nigel,e,stork,James Cook University Cairns,,
gcb,2007,TBD,nigel,e,stork,James Cook University Cairns,,
gcb,1996,TBD,masayuki,m,takahashi,,,
gcb,2007,TBD,masayuki,m,takahashi,,,
gcb,1996,TBD,max,NA,tilzer,Alfred Wegener Institute for Polar and Marine Research,,
gcb,2007,TBD,max,NA,tilzer,University of Konstanz,2000 on,
gcb,1997,TBD,riccardo,NA,valentini,Tuscia University,,
gcb,2007,TBD,riccardo,NA,valentini,Tuscia University,,
gcb,1996,TBD,bess,b,ward,University of California Santa Cruz,,
gcb,2007,TBD,bess,b,ward,University of California Santa Cruz,,
gcb,1996,TBD,j,b,whitaker,Lancaster University,,
gcb,2007,TBD,j,b,whitaker,Lancaster University,,
gcb,1996,1144,f,ian,woodward,University of Sheffield,,
gcb,2007,1144,f,ian,woodward,University of Sheffield,,
jape,1985,1521,j,p,cooper,,,
jape,1987,1521,j,p,cooper,,,
jecol,1985,3874,d,a,williams,,,
jecol,1990,3874,d,a,williams,,,
jzool,1985,3918,marcia,a,edwards,,,
jzool,1986,3918,marcia,a,edwards,,,
jzool,1989,384,c,NA,arme,,,
jzool,1989,2983,r,j,berry,,,
jzool,1989,3717,w,n,bonner,,,
jzool,1989,2777,p,j,butler,,,
jzool,1989,419,c,k,catchpole,,,
jzool,1989,35,a,je,cave,,,
jzool,1989,TBD,j,e,cave,,,
jzool,1989,2332,m,j,coe,,,
jzool,1989,72,a,a,fincham,,,
jzool,1989,277,b,green,gardiner,,,
jzool,1990,384,c,NA,arme,,,
jzool,1990,TBD,j,e,cave,,,
jzool,1991,1614,j,NA,gurnell,,,
jzool,1992,2332,m,j,coe,,,
jzool,1992,72,a,a,fincham,,,
jzool,1993,1155,g,a,boxshall,,,
jzool,1993,277,b,green,gardiner,,,
jzool,1993,2826,p,j,herring,,,
jzool,1994,3717,w,n,bonner,,,
jzool,1995,2983,r,j,berry,,,
jzool,1995,1155,g,a,boxshall,,,
jzool,1995,2313,m,w,bruford,,,
jzool,1995,419,c,k,catchpole,,,
jzool,1995,35,a,je,cave,,,
jzool,1995,1614,j,NA,gurnell,,,
jzool,1995,2826,p,j,herring,,,
jzool,1987,TBD,unity,mm,mcdonnell,,,
jzool,2000,1515,juliet,NA,clutton-brock,Nat Hist Museum UK,,
jzool,2001,1515,juliet,NA,clutton-brock,Nat Hist Museum UK,,
jzool,2008,2981,robert,NA,beason,National Wildlife research Center Ohio,,
jzool,2008,3838,yvonne-marie,NA,linton,Nat Hist Museum UK,,
jzool,2008,1730,john,NA,lynch,ASU,,
jzool,2009,2763,p,NA,bateman,Univ of Pretoria,,
jzool,2010,3838,yvonne-marie,NA,linton,Nat Hist Museum UK,,
jzool,2011,939,e,NA,briefer,queen mary univ london,,
