JOURNAL,YEAR,editor_id,FIRST_NAME,MIDDLE_NAME,LAST_NAME,INST,NOTES,INST.CORRECTED,,,,
JAPE,1989,1368,Henry,NA,Thomas,NA,,AFRC Institute for Grassland and Animal Production,,,,
JAPE,1997,1368,Henry,NA,Thomas,NA,,AFRC Institute for Grassland and Animal Production,,,,
OIKOS,1985,954,E,NA,Dahl,NA,,Agric. Univ. of Norway,,,,
OIKOS,1989,954,E,NA,Dahl,NA,,Agric. Univ. of Norway,,,,
BIOCON,2014,1685,Jagdish,NA,Krishnaswamy,NA,,Ashoka Trust for Research in Ecology and the Environment (ATREE),,,,
JBIOG,2010,2154,Len,NA,Gilman,NA,,Auckland University of Technology,,,,
JBIOG,2010,2154,Len,NA,Gilman,NA,,Auckland University of Technology,,,,
JBIOG,2014,2154,Len,NA,Gilman,NA,,Auckland University of Technology,,,,
JBIOG,2014,2154,Len,NA,Gilman,NA,,Auckland University of Technology,,,,
AMNAT,1991,2782,Peter,NA,Chesson,NA,,Australian National university,,,,
AMNAT,1995,2782,Peter,NA,Chesson,NA,,Australian National university,,,,
BITR,1993,5,Anthony,NA,Anderson,NA,,Australian National University,,,,
BITR,1997,5,Anthony,NA,Anderson,NA,,Australian National University,,,,
JANE,2013,2587,Martin,NA,Vanderpol,NA,,Australian National University,,,,
JANE,2014,2587,Martin,NA,Vanderpol,NA,,Australian National University,,,,
OIKOS,2011,3205,Robin,NA,Robinson,NA,,British Trust Ornithol,,,,
OIKOS,2014,3205,Robin,NA,Robinson,NA,,British Trust Ornithol,,,,
JECOL,1987,291,B,NA,Huntely,NA,,Cambridge University,,,,
JECOL,1985,292,B,NA,Huntley,NA,,Cambridge University,,,,
JECOL,1988,292,B,NA,Huntley,NA,,Cambridge University,,,,
JECOL,1991,89,Alan,J,Gray,NA,,Cardiff University,,,,
JECOL,1985,1564,John,R,Etherington,NA,,Cardiff University,,,,
JAPE,1985,3630,T,M,Roberts,NA,,"Central Electricity Research Laboratories, Kelvin Avenue, Leatherhead, Surrey",,,,
JAPE,1987,3630,T,M,Roberts,NA,,"Central Electricity Research Laboratories, Kelvin Avenue, Leatherhead, Surrey",,,,
JAPE,2005,1260,Graham,NA,Smith,NA,,"Central Science Laboratory, Sand Hutton, York, YO41 1LZ, UK",,,,
JAPE,2006,1260,Graham,NA,Smith,NA,,"Central Science Laboratory, Sand Hutton, York, YO41 1LZ, UK",,,,
OECOL,2012,1705,Jean-Francois,NA,Legalliard,NA,,Centre National de la Recherche Scientifique (CNRS) Inst for Ecology and the Environment,,,,
OECOL,2014,1705,Jean-Francois,NA,Legalliard,NA,,Centre National de la Recherche Scientifique (CNRS) Inst for Ecology and the Environment,,,,
JBIOG,2014,1097,Fu-Min,NA,Lei,NA,,Chinese Academy of Sciences,,,,
EVOL,2015,850,Denis,NA,Roze,NA,,CNRS Roscoff Biological Station,,,,
JBIOG,2013,266,Brent,NA,Emerson,NA,,CSIC - IPNA,,,,
JBIOG,2014,266,Brent,NA,Emerson,NA,,CSIC - IPNA,,,,
BITR,1993,1576,John,ED,Fox,NA,,Curtin University of Technology,,,,
BITR,1997,1576,John,ED,Fox,NA,,Curtin University of Technology,,,,
OIKOS,1985,3271,S,T,Andersen,NA,,Danmarks Geologiske Undersøgelse/Geological Survey of Denmark,,,,
OIKOS,1989,3271,S,T,Andersen,NA,,Danmarks Geologiske Undersøgelse/Geological Survey of Denmark,,,,
AMNAT,1991,3697,V,Louise,Roth,NA,,Duke University,,,,
JBIOG,2014,2381,Michelle,NA,Gaither,NA,,Durham University,,,,
OECOL,2014,3669,Ulo,NA,Niinemets,NA,,Estonian University of Life Sciences,,,,
OECOL,2004,2632,Nina,NA,Buchmann,NA,,ETH Zurich,,,,
OECOL,2014,2632,Nina,NA,Buchmann,NA,,ETH Zurich,,,,
OIKOS,2012,564,Carry,Le,Roy,NA,,Evergreen State Coll,,,,
OIKOS,2014,564,Carry,Le,Roy,NA,,Evergreen State Coll,,,,
JAPE,2006,2598,Matthew,J,Walpole,NA,,"Fauna and Flora International, Cambridge UK",,,,
JAPE,2009,2598,Matthew,J,Walpole,NA,,"Fauna and Flora International, Cambridge UK",,,,
JANE,1999,3939,Steve,NA,Hall,NA,,Flinders University,,,,
OECOL,2013,504,Craig,NA,Layman,NA,,Florida International Universit,,,,
OECOL,2014,504,Craig,NA,Layman,NA,,Florida International Universit,,,,
JAPE,1993,722,David,A,Hill,NA,,GAME CONSERVANCY,,,,
OECOL,2012,1714,John,T,Lill,NA,,George Washington University,,,,
OECOL,2014,1714,John,T,Lill,NA,,George Washington University,,,,
AMNAT,2015,2354,Meghan,NA,Duffy,NA,,georgia tech,,,,
JBIOG,2013,3359,Steven,NA,Higgins,NA,,Goethe University Frankfurt,,,,
JANE,2014,1014,Eoin,NA,O'gorman,NA,,Imperial College London,,,,
JAPE,1985,186,Arthur,John,Rutter,NA,,"Imperial College London UNIV LONDON IMPERIAL COLL SCI & TECHNOL, DEPT PURE & APPL BIOL, SILWOOD PK, ASCOT SL5 7PY, BERKS, ENGLAND.",,,,
JAPE,1988,186,Arthur,John,Rutter,NA,,"Imperial College London UNIV LONDON IMPERIAL COLL SCI & TECHNOL, DEPT PURE & APPL BIOL, SILWOOD PK, ASCOT SL5 7PY, BERKS, ENGLAND.",,,,
AMNAT,1991,2226,Leslie,A,Real,NA,,Indiana University,,,,
AMNAT,1993,2226,Leslie,A,Real,NA,,Indiana University,,,,
EVOL,2015,2393,Matthew,NA,Hahn,NA,,Indiana University,,,,
JAPE,1988,1767,John,NA,Miles,NA,,"INST TERR ECOL, Banchory Research Station",,,,
JAPE,1991,1767,John,NA,Miles,NA,,"INST TERR ECOL, Banchory Research Station",,,,
JAPE,1988,910,David,NA,Welch,NA,,"Institute of Terrestrial Ecology, Banchory, Kincardineshire, Scotland",,,,
JAPE,1996,910,David,NA,Welch,NA,,"Institute of Terrestrial Ecology, Banchory, Kincardineshire, Scotland",,,,
OIKOS,2011,217,Anna,NA,Traveser,NA,,Instituto Mediterraneo de Estudios Avanzados (IMEDEA),,,,
OIKOS,2014,217,Anna,NA,Traveser,NA,,Instituto Mediterraneo de Estudios Avanzados (IMEDEA),,,,
EVOL,2015,2701,Nicole,NA,Valenzuela,NA,,Iowa State University,,,,
JAPE,1985,3714,William,C,Block,NA,,JOHN MOORES UNIV,,,,
JAPE,1989,3714,William,C,Block,NA,,JOHN MOORES UNIV,,,,
EVOL,2015,33,Andrea,NA,Case,NA,,Kent State university,,,,
JECOL,1989,1036,Eddy,NA,Vandermeijden,NA,,Leiden University,,,,
JECOL,1993,1036,Eddy,NA,Vandermeijden,NA,,Leiden University,,,,
OIKOS,2013,1430,Jessica,NA,Abbot,NA,,Lund University,,,,
OIKOS,2014,1430,Jessica,NA,Abbot,NA,,Lund University,,,,
AMNAT,2015,1396,Ian,NA,Dworkin,NA,,McMaster University,,,,
AREES,1985,2952,Patricia,A,Werner,NA,,michigan state university,,,,
EVOL,2015,1396,Ian,NA,Dworkin,NA,,Michigan state university,,,,
BITR,1996,2767,Paul,NA,Berry,NA,,Missouri Botanical Garden,,,,
BITR,1997,2767,Paul,NA,Berry,NA,,Missouri Botanical Garden,,,,
EVOL,2015,67,Alistair,NA,Evans,NA,,Monash University,,,,
EVOL,2015,3870,Dustin,NA,Marshall,NA,,Monash University,,,,
JBIOG,2014,2182,Liliana,NA,Katinas,NA,,Museo de la plata,,,,
JBIOG,2014,2106,Kostas,NA,Triantis,NA,,National & Kapodistrian University,,,,
JBIOG,2010,2327,Mark,NA,Carine,NA,,Natural History Museum London,,,,
JBIOG,2014,2327,Mark,NA,Carine,NA,,Natural History Museum London,,,,
JBIOG,2014,647,Daniel,NA,Chapman,NA,,NERC Ctr Ecol & Hydrol,,,,
JBIOG,2014,3296,Stephen,NA,Cavers,NA,,NERC Ctr Ecol & Hydrol,,,,
JAPE,2000,1490,James,M,Bullock,NA,,"NERC, Inst Terr Ecol",,,,
JAPE,2003,1490,James,M,Bullock,NA,,"NERC, Inst Terr Ecol",,,,
JAPE,1989,3020,Ralph,T,Clarke,NA,,"NERC, Inst Terr Ecol",,,,
JANE,1994,2040,Kate,NA,Lessells,NA,,Netherlands Institute of Ecology (NIOO-KNAW),,,,
JANE,2014,2040,Kate,NA,Lessells,NA,,Netherlands Institute of Ecology (NIOO-KNAW),,,,
BIOCON,1998,3041,Rodolfo,NA,Dirzo,NA,,norther arizona university,,,,
OIKOS,2012,283,Bente,NA,Grae,NA,,Norwegian University of Science & Technology,,,,
OIKOS,2014,283,Bente,NA,Grae,NA,,Norwegian University of Science & Technology,,,,
JECOL,1990,130,Alan,J,Lack,NA,,Oxford Brookes University,,,,
EVOL,2015,1908,Joe,NA,Tobias,NA,,Oxford University,,,,
