JOURNAL,YEAR,editor_id,FIRST_NAME,MIDDLE_NAME,LAST_NAME,INST,NOTES,,,,,,,,,,,,,,
AUK,1990,TBD,bruce,m,beehler,,,,,,,,,,,,,,,,
AUK,1993,TBD,bruce,m,beehler,,,,,,,,,,,,,,,,
AUK,2014,TBD,bonnie,s,bowen,,,,,,,,,,,,,,,,
AUK,2003,TBD,rebecca,m,braucht,,,,,,,,,,,,,,,,
AUK,2004,TBD,rebecca,m,braucht,,,,,,,,,,,,,,,,
AUK,2005,TBD,rebecca,m,braucht edmondson,,,,,,,,,,,,,,,,
AUK,2014,TBD,carlos,d,cadena ordonez,,,,,,,,,,,,,,,,
AUK,2017,TBD,carlos,d,cadena ordonez,,,,,,,,,,,,,,,,
AUK,2004,TBD,richard,NA,earles,,,,,,,,,,,,,,,,
AUK,2018,TBD,richard,NA,earles,,,,,,,,,,,,,,,,
AUK,2014,TBD,jessica,NA,eberhard,,,,,,,,,,,,,,,,
AUK,2015,TBD,jessica,NA,eberhard,,,,,,,,,,,,,,,,
AUK,2016,TBD,kathleen,e,erickson,,,,,,,,,,,,,,,,
AUK,2018,TBD,kathleen,e,erickson,,,,,,,,,,,,,,,,
AUK,2014,TBD,janice,NA,faaborg,,,,,,,,,,,,,,,,
AUK,2017,TBD,janice,NA,faaborg,,,,,,,,,,,,,,,,
AUK,2014,TBD,scott,w,gillihan,,,,,,,,,,,,,,,,
AUK,2018,TBD,scott,w,gillihan,,,,,,,,,,,,,,,,
AUK,1986,TBD,m,ross,lein,,,,,,,,,,,,,,,,
AUK,1989,TBD,m,ross,lein,,,,,,,,,,,,,,,,
AUK,1987,TBD,m,ross,len,,,,,,,,,,,,,,,,
AUK,1990,TBD,m,ross,len,,,,,,,,,,,,,,,,
AUK,1985,TBD,fred,e,lohrer,,,,,,,,,,,,,,,,
AUK,1990,TBD,fred,e,lohrer,,,,,,,,,,,,,,,,
AUK,1985,TBD,j,f,lynch,,,,,,,,,,,,,,,,
