journal,year,editor_id,first_name,middle_name,last_name,inst,notes
agronomy,1994,1460,jerry,NA,bennett,NA,na / na
agronomy,1997,635,donald,NA,brandon,NA,na / na
agronomy,2002,3003,roland,NA,buresh,NA,na / na
agronomy,2008,3070,ronald,NA,gehl,NA,na / na
agronomy,1985,2167,l,a,harper,NA,na / na
agronomy,1986,2167,l,a,harper,NA,na / na
agronomy,1989,2167,lowry,NA,harper,NA,na / na
agronomy,1991,741,douglas,NA,johnson,NA,na / na
agronomy,1999,3767,william,NA,luellen,NA,na / na
agronomy,1990,3407,stephen,NA,merrill,NA,na / na
agronomy,2008,3434,steven,NA,petrie,NA,na / na
agronomy,2011,3434,steven,NA,petrie,NA,na / na
agronomy,1986,4384,danny,h,smith,NA,na / na
auk,1990,3975,bruce,m,beehler,NA,book reviews / na
auk,1993,3975,bruce,m,beehler,NA,book reviews / na
auk,1986,4214,m,ross,lein,NA,na / na
auk,1989,4214,m,ross,lein,NA,book reviews / na
auk,1987,4215,m,ross,len,NA,book review / na
auk,1990,4215,m,ross,len,NA,book reviews / na
auk,1985,4229,fred,e,lohrer,NA,periodical literature / na
auk,1990,4229,fred,e,lohrer,NA,periodical literature / na
auk,1985,4231,j,f,lynch,NA,na / na
auk,1987,4231,j,f,lynch,NA,na / na
auk,1996,4247,thomas,e,martin,NA,na / na
auk,1985,4263,d,NA,mock,NA,na / na
auk,1987,4263,d,NA,mock,NA,na / na
auk,1986,4303,r,b,payne,NA,na / na
auk,1987,4303,r,b,payne,NA,na / na
auk,1985,4400,william,e.,southern,NA,book reviews / na
auk,1992,4429,john,l,trapp,NA,recent ornithological literature / na
auk,1993,4429,john,l,trapp,NA,recent ornithological literature / na
condor,2013,3955,fidelis,NA,atuo,NA,na / na
condor,2013,3957,julian,NA,avery,NA,na / na
condor,1999,3982,jeanette,NA,bider,NA,na / na
condor,2000,3982,jeanette,NA,bider,NA,na / na
condor,2012,3983,brian,NA,bielfelt,NA,na / na
condor,2013,3983,brian,NA,bielfelt,NA,na / na
condor,1985,3986,charles,r,blem,NA,na / na
condor,2012,4005,christin,w,briggs,NA,na / na
condor,2013,4006,christopher,w,briggs,NA,na / na
condor,2013,4024,sergio,NA,cabrera,NA,na / na
condor,2013,4029,ashley,NA,casey,NA,na / na
condor,1999,4033,don,NA,catanzaro,NA,na / na
condor,2000,4033,don,NA,catanzaro,NA,na / na
condor,2012,4038,scott,j,chiavacci,NA,na / na
condor,2012,4052,andrea,NA,countina,NA,na / na
condor,2012,4055,claire,m,curry,NA,na / na
condor,2012,4060,anthony,c,dalismo,NA,na / na
condor,2001,4072,david,s,dobkin,NA,na / na
condor,2007,4072,david,s,dobkin,NA,na / na
condor,2014,4074,paul,f,doherty,NA,na / na
condor,2013,4111,joseph,j,fontaine,NA,na / na
condor,2014,4111,joseph,j,fontaine,NA,na / na
condor,2012,4135,blake,NA,grisham,NA,na / na
condor,2013,4135,blake,NA,grisham,NA,na / na
condor,2012,4150,tyler,m,harms,NA,na / na
condor,2013,4150,tyler,m,harms,NA,na / na
condor,2013,4160,david,NA,hille,NA,na / na
condor,1985,4186,michael,d,kern,NA,na / na
condor,1996,3760,walter,d,koenig,NA,na / na
condor,2000,3760,walter,d,koenig,NA,na / na
condor,2001,4204,barbara,NA,kus,NA,na / na
condor,2005,4204,barbara,NA,kus,NA,na / na
condor,2012,4208,diane,v,landoll,NA,na / na
condor,2013,4208,diane,v,landoll,NA,na / na
condor,2012,4209,kathryn,m,languin,NA,na / na
condor,2013,4211,jessica,NA,laskowski,NA,na / na
condor,1985,2443,marcy,f,lawton,NA,na / na
condor,1990,2443,marcy,f,lawton,NA,na / na
condor,2012,4246,kristen,NA,martin,NA,na / na
condor,2013,4266,adrian,NA,monroe,NA,na / na
condor,1986,4271,martin,l,morton,NA,na / na
condor,1990,4271,martin,l,morton,NA,na / na
condor,1999,4279,laura,NA,nagy,NA,na / na
condor,2000,4279,laura,NA,nagy,NA,na / na
condor,2014,4294,jennifer,c,owen,NA,na / na
condor,2007,4302,michael,a,pattern,NA,na / na
condor,2013,4302,michael,a,pattern,NA,na / na
condor,2013,4307,mario,NA,pesendorfer,NA,na / na
condor,1992,4312,raymond,NA,pierotti,NA,na / na
condor,1999,4319,mike,NA,powers,NA,na / na
condor,2000,4319,mike,NA,powers,NA,na / na
condor,2012,4376,ryan,NA,shipley,NA,na / na
condor,2013,4376,ryan,NA,shipley,NA,na / na
condor,2012,4380,dave,NA,slager,NA,na / na
condor,2013,4380,dave,NA,slager,NA,na / na
condor,1985,3907,james,n,smith,NA,na / na
condor,1996,2094,kimberly,g,smith,NA,na / na
condor,2000,2094,kimberly,g,smith,NA,na / na
condor,1985,4405,peter,NA,stettenheim,NA,na / na
condor,2014,2928,philip,c,stouffer,NA,na / na
condor,2006,4412,david,l,swanson,NA,na / na
condor,2007,4412,david,l,swanson,NA,na / na
condor,2012,4418,ryan,NA,terrill,NA,na / na
condor,1999,4419,wayne,NA,thogmartin,NA,na / na
condor,2000,4419,wayne,NA,thogmartin,NA,na / na
condor,1993,4421,christopher,w,thompson,NA,na / na
condor,1995,4421,christopher,w,thompson,NA,na / na
condor,2013,4433,katerina,NA,tvardikova,NA,na / na
condor,1991,4447,glenn,e,walsberg,NA,na / na
condor,1995,4447,glenn,e,walsberg,NA,na / na
condor,2013,4467,stephanie,NA,wright,NA,na / na
jape,1985,1521,j,p,cooper,NA,na / na
jape,1987,1521,j,p,cooper,NA,na / na
jzool,2009,2763,p,NA,bateman,NA,na / na
jzool,2014,2763,p,NA,bateman,NA,na / na
jzool,2008,2981,robert,NA,beason,NA,na / na
jzool,2013,2981,robert,NA,beason,NA,na / na
jzool,2013,1466,j,NA,bielby,NA,na / na
jzool,2014,1466,j,NA,bielby,NA,na / na
jzool,2011,939,e,NA,briefer,NA,na / na
jzool,2014,939,e,NA,briefer,NA,na / na
jzool,1989,35,a,NA,cave,NA,na / na
jzool,1990,35,a,NA,cave,NA,na / na
jzool,2011,664,d,NA,dechmann,NA,na / na
jzool,2014,664,d,NA,dechmann,NA,na / na
jzool,1985,3918,marcia,NA,edwards,NA,na / na
jzool,1986,3918,marcia,NA,edwards,NA,na / na
jzool,2011,2807,p,NA,fleming,NA,na / na
jzool,2014,2807,p,NA,fleming,NA,na / na
jzool,2011,103,a,NA,herrel,NA,na / na
jzool,2014,103,a,NA,herrel,NA,na / na
