index,Name1,Name2,Name_sim,Name_dist
26534,vanderheijden,vandermeijden,0.9230769230769231,1
5734,etherington,hetherington,0.9166666666666666,1
6194,fredericksen,frederickson,0.9166666666666666,1
6195,fredericksen,frederiksen,0.9166666666666666,1
7399,gustafson,gustafsson,0.9,1
489,anderson,andersson,0.8888888888888888,1
490,anderson,sanderson,0.8888888888888888,1
635,atkinson,watkinson,0.8888888888888888,1
5777,etterson,ketterson,0.8888888888888888,1
6095,fleishman,leishman,0.8888888888888888,1
7297,griffith,griffiths,0.8888888888888888,1
10171,hollinger,holsinger,0.8888888888888888,1
18984,marschall,marshall,0.8888888888888888,1
23234,osenberg,rosenberg,0.8888888888888888,1
487,andersen,anderson,0.875,1
3043,donoghue,donohue,0.875,1
5088,emerson,emmerson,0.875,1
5132,ericsson,eriksson,0.875,1
10169,hoffmann,hofmann,0.875,1
12290,jacobsen,jacobson,0.875,1
12425,johnson,johnston,0.875,1
12427,jonasson,jonsson,0.875,1
13025,lafferty,rafferty,0.875,1
18989,marshal,marshall,0.875,1
19338,mcdowall,mcdowell,0.875,1
22190,oliveri,olivieri,0.875,1
22192,olmstead,olmsted,0.875,1
23491,peterken,petersen,0.875,1
23496,petersen,peterson,0.875,1
24155,richard,richards,0.875,1
24353,rosswall,tosswall,0.875,1
24678,russell,trussell,0.875,1
24838,sanders,saunders,0.875,1
24908,schaller,scheller,0.875,1
24986,shaanker,shanker,0.875,1
25313,spofford,swofford,0.875,1
25669,tomkins,tompkins,0.875,1
603,anthony,antony,0.8571428571428572,1
611,arnold,arnould,0.8571428571428572,1
1303,bowling,cowling,0.8571428571428572,1
1411,brooker,rooker,0.8571428571428572,1
1618,cannell,pannell,0.8571428571428572,1
2529,crawley,crowley,0.8571428571428572,1
2760,dasmann,rasmann,0.8571428571428572,1
2989,dickman,hickman,0.8571428571428572,1
6040,ferrari,ferraro,0.8571428571428572,1
6057,findlay,finlay,0.8571428571428572,1
6088,fischer,fisher,0.8571428571428572,1
6138,forman,forsman,0.8571428571428572,1
7090,gardner,garner,0.8571428571428572,1
7091,gardner,gartner,0.8571428571428572,1
7092,garner,garnier,0.8571428571428572,1
7093,garner,gartner,0.8571428571428572,1
7208,gillson,willson,0.8571428571428572,1
7303,groover,grover,0.8571428571428572,1
7559,hanson,hansson,0.8571428571428572,1
10082,higgins,jiggins,0.8571428571428572,1
10083,higham,whigham,0.8571428571428572,1
11227,huntely,huntly,0.8571428571428572,1
11229,huntley,huntly,0.8571428571428572,1
12434,jordan,jordano,0.8571428571428572,1
12534,kaufman,kaupman,0.8571428571428572,1
12667,kellman,kullman,0.8571428571428572,1
12804,koehler,kohler,0.8571428571428572,1
13124,larson,larsson,0.8571428571428572,1
18993,martin,martins,0.8571428571428572,1
19454,moeller,mueller,0.8571428571428572,1
19491,moloney,mooney,0.8571428571428572,1
19588,mueller,muller,0.8571428571428572,1
21718,niklas,niklaus,0.8571428571428572,1
23231,osborn,osborne,0.8571428571428572,1
23232,osborn,osbourn,0.8571428571428572,1
23558,poorter,porter,0.8571428571428572,1
24204,risser,rissler,0.8571428571428572,1
24792,sadler,stadler,0.8571428571428572,1
24928,schiel,schimel,0.8571428571428572,1
24929,schmid,schmidt,0.8571428571428572,1
24933,schmidt,schmitt,0.8571428571428572,1
24935,schmitt,schmitz,0.8571428571428572,1
24942,schulte,schultz,0.8571428571428572,1
24943,schulte,schulze,0.8571428571428572,1
25347,stephan,steppan,0.8571428571428572,1
25414,suding,sunding,0.8571428571428572,1
25655,temple,templer,0.8571428571428572,1
26975,walter,walters,0.8571428571428572,1
26978,walters,wolters,0.8571428571428572,1
27821,weiser,weisser,0.8571428571428572,1
28202,whitman,witman,0.8571428571428572,1
28270,willson,wilson,0.8571428571428572,1
6,abbot,abbott,0.8333333333333334,1
43,adler,sadler,0.8333333333333334,1
89,albert,alpert,0.8333333333333334,1
636,austen,austin,0.8333333333333334,1
790,baker,bakker,0.8333333333333334,1
791,baker,barker,0.8333333333333334,1
798,bakker,barker,0.8333333333333334,1
908,barker,parker,0.8333333333333334,1
910,barton,burton,0.8333333333333334,1
912,barton,warton,0.8333333333333334,1
950,beason,benson,0.8333333333333334,1
1054,benson,benton,0.8333333333333334,1
1059,benton,fenton,0.8333333333333334,1
1141,berger,borger,0.8333333333333334,1
1142,berger,burger,0.8333333333333334,1
1146,berger,werger,0.8333333333333334,1
1218,bohlen,bolen,0.8333333333333334,1
1250,bonner,bonser,0.8333333333333334,1
1251,bonner,conner,0.8333333333333334,1
1252,bonner,donner,0.8333333333333334,1
1273,borer,borger,0.8333333333333334,1
1279,borger,borges,0.8333333333333334,1
1280,borger,burger,0.8333333333333334,1
1302,bowers,powers,0.8333333333333334,1
1391,brandl,brando,0.8333333333333334,1
1392,brandl,brandt,0.8333333333333334,1
1395,brando,brandt,0.8333333333333334,1
1493,burdon,burton,0.8333333333333334,1
1808,cardon,carson,0.8333333333333334,1
1880,carson,larson,0.8333333333333334,1
2107,cinner,conner,0.8333333333333334,1
2109,clark,clarke,0.8333333333333334,1
2410,comes,coomes,0.8333333333333334,1
2411,conner,connor,0.8333333333333334,1
2412,conner,donner,0.8333333333333334,1
2439,cotter,cutter,0.8333333333333334,1
2443,cotter,potter,0.8333333333333334,1
2542,cutter,rutter,0.8333333333333334,1
2767,davies,davis,0.8333333333333334,1
3003,dobson,dodson,0.8333333333333334,1
3056,duffey,duffy,0.8333333333333334,1
3071,dunne,dunnet,0.8333333333333334,1
6035,feener,fenner,0.8333333333333334,1
6036,fenner,genner,0.8333333333333334,1
6037,fenner,jenner,0.8333333333333334,1
6038,fenner,renner,0.8333333333333334,1
6058,finlay,finley,0.8333333333333334,1
6092,fitter,mitter,0.8333333333333334,1
6139,forman,gorman,0.8333333333333334,1
6142,foster,koster,0.8333333333333334,1
6179,franc,franco,0.8333333333333334,1
6196,frederickson,frederiksen,0.8333333333333334,2
6913,fuller,muller,0.8333333333333334,1
6915,galdon,gallon,0.8333333333333334,1
6916,galdon,gandon,0.8333333333333334,1
7094,garner,warner,0.8333333333333334,1
7101,geber,gerber,0.8333333333333334,1
7111,genner,jenner,0.8333333333333334,1
7113,genner,renner,0.8333333333333334,1
7201,giller,miller,0.8333333333333334,1
7239,gordo,gordon,0.8333333333333334,1
7281,green,greene,0.8333333333333334,1
7553,hanken,hansen,0.8333333333333334,1
7556,hansen,hanson,0.8333333333333334,1
7564,hanson,manson,0.8333333333333334,1
7616,harder,harper,0.8333333333333334,1
9871,hendry,henry,0.8333333333333334,1
9874,herre,herrel,0.8333333333333334,1
9889,hester,lester,0.8333333333333334,1
10166,hillis,willis,0.8333333333333334,1
12377,jenner,renner,0.8333333333333334,1
12459,kaplan,kaplin,0.8333333333333334,1
12664,keller,weller,0.8333333333333334,1
12673,kelly,skelly,0.8333333333333334,1
12775,kleijn,klein,0.8333333333333334,1
12776,kleijn,klijn,0.8333333333333334,1
12879,kohler,kotler,0.8333333333333334,1
13030,laine,lavine,0.8333333333333334,1
13378,lavin,lavine,0.8333333333333334,1
13384,lavine,levine,0.8333333333333334,1
14854,levin,levine,0.8333333333333334,1
16546,linder,winder,0.8333333333333334,1
16548,linton,liston,0.8333333333333334,1
18642,malmer,palmer,0.8333333333333334,1
18664,mangel,rangel,0.8333333333333334,1
18972,manson,mason,0.8333333333333334,1
18973,manson,matson,0.8333333333333334,1
18974,manson,monson,0.8333333333333334,1
19002,mason,matson,0.8333333333333334,1
19049,matson,watson,0.8333333333333334,1
19387,menge,menges,0.8333333333333334,1
19395,meyer,meyers,0.8333333333333334,1
19398,meyers,myers,0.8333333333333334,1
19411,miller,muller,0.8333333333333334,1
19427,milton,mitton,0.8333333333333334,1
19512,moran,morgan,0.8333333333333334,1
19553,morris,norris,0.8333333333333334,1
19561,morton,norton,0.8333333333333334,1
19600,naiman,neiman,0.8333333333333334,1
19617,nanney,nunney,0.8333333333333334,1
20075,neiman,newman,0.8333333333333334,1
21860,norden,nordin,0.8333333333333334,1
23291,pacal,pacala,0.8333333333333334,1
23397,partel,patel,0.8333333333333334,1
23426,patten,patton,0.8333333333333334,1
23428,patton,paxton,0.8333333333333334,1
23499,pilon,pilson,0.8333333333333334,1
23500,pilson,wilson,0.8333333333333334,1
23512,pitman,witman,0.8333333333333334,1
23559,porter,potter,0.8333333333333334,1
23586,poulin,roulin,0.8333333333333334,1
23589,power,powers,0.8333333333333334,1
23659,rangel,ranger,0.8333333333333334,1
24192,rillig,willig,0.8333333333333334,1
24205,risser,visser,0.8333333333333334,1
25250,silman,tilman,0.8333333333333334,1
25317,stamp,stamps,0.8333333333333334,1
25406,stone,stoner,0.8333333333333334,1
26923,wagner,warner,0.8333333333333334,1
26965,walker,waller,0.8333333333333334,1
26966,walker,walter,0.8333333333333334,1
26971,waller,walter,0.8333333333333334,1
26973,waller,weller,0.8333333333333334,1
26974,wallis,willis,0.8333333333333334,1
27484,warner,werner,0.8333333333333334,1
27486,warren,werren,0.8333333333333334,1
27766,weiher,weiner,0.8333333333333334,1
27767,weiher,weiser,0.8333333333333334,1
27772,weiner,weiser,0.8333333333333334,1
27773,weiner,werner,0.8333333333333334,1
27814,weise,weiser,0.8333333333333334,1
28158,werger,werner,0.8333333333333334,1
28241,wilder,winder,0.8333333333333334,1
28250,willig,willis,0.8333333333333334,1
28256,willis,wills,0.8333333333333334,1
28273,winder,wunder,0.8333333333333334,1
12745,kirkpatrick,kilpatrick,0.8181818181818181,2
19497,montgomerie,montgomery,0.8181818181818181,2
16,adam,adams,0.8,1
610,armsworth,farnsworth,0.8,2
654,ayre,ayres,0.8,1
695,bach,ebach,0.8,1
707,baer,baker,0.8,1
717,baer,bauer,0.8,1
792,baker,bauer,0.8,1
922,bauer,sauer,0.8,1
943,bayne,jayne,0.8,1
944,bayne,wayne,0.8,1
948,beard,heard,0.8,1
1038,bence,benke,0.8,1
1040,bence,bunce,0.8,1
1151,berry,perry,0.8,1
1176,black,block,0.8,1
1179,black,lack,0.8,1
1184,blake,boake,0.8,1
1199,boake,loake,0.8,1
1220,bolen,bowen,0.8,1
1264,boot,boots,0.8,1
1376,boyce,boyle,0.8,1
1387,boyle,doyle,0.8,1
1388,boyle,moyle,0.8,1
1389,boyle,royle,0.8,1
1423,bruna,bruno,0.8,1
1429,bryan,ryan,0.8,1
1576,byers,myers,0.8,1
1809,carey,casey,0.8,1
1814,carlo,caro,0.8,1
1890,case,casey,0.8,1
1900,case,chase,0.8,1
2324,cole,coley,0.8,1
2419,cook,cooke,0.8,1
2527,cragg,craig,0.8,1
2543,dacey,lacey,0.8,1
2765,david,davis,0.8,1
2908,dean,deans,0.8,1
2996,dixon,hixon,0.8,1
3006,dolan,solan,0.8,1
3044,doyle,moyle,0.8,1
3045,doyle,royle,0.8,1
3062,dunn,dunne,0.8,1
3076,dwyer,dyer,0.8,1
5157,erwin,irwin,0.8,1
6180,franc,frank,0.8,1
6929,gale,galen,0.8,1
7096,geary,neary,0.8,1
7121,gibb,gibbs,0.8,1
7249,goyer,guyer,0.8,1
7253,graae,grace,0.8,1
7299,grigg,rigg,0.8,1
7300,grime,grimm,0.8,1
7308,gross,ross,0.8,1
7446,hahs,hauhs,0.8,1
7475,hall,halle,0.8,1
7959,hayes,hays,0.8,1
9822,hedin,wedin,0.8,1
10234,houde,houle,0.8,1
11902,iason,mason,0.8,1
11903,iason,nason,0.8,1
12297,jarne,jayne,0.8,1
12375,jayne,wayne,0.8,1
12532,katz,kratz,0.8,1
12935,kraft,kreft,0.8,1
12943,krebs,kress,0.8,1
12946,kress,press,0.8,1
13036,laine,paine,0.8,1
13037,laine,raine,0.8,1
13069,lande,lange,0.8,1
13118,lanly,manly,0.8,1
13379,lavin,levin,0.8,1
14347,leips,leirs,0.8,1
14349,leips,leps,0.8,1
14350,leips,lips,0.8,1
18891,mann,manne,0.8,1
18977,maron,mason,0.8,1
19003,mason,nason,0.8,1
19326,mayer,mayor,0.8,1
19327,mayer,meyer,0.8,1
19330,mayer,sayer,0.8,1
19404,miles,mills,0.8,1
19405,miles,moles,0.8,1
19419,mills,wills,0.8,1
19506,moral,moran,0.8,1
19513,moran,morin,0.8,1
19537,mori,morin,0.8,1
19587,moyle,royle,0.8,1
19689,near,neary,0.8,1
23293,pagel,patel,0.8,1
23295,paige,paine,0.8,1
23304,paine,raine,0.8,1
23385,part,peart,0.8,1
23409,pate,patek,0.8,1
23410,pate,patel,0.8,1
23423,patek,patel,0.8,1
23433,pearl,peart,0.8,1
23497,phillips,phillipson,0.8,2
23515,platt,pratt,0.8,1
23521,polle,polly,0.8,1
23522,polle,poole,0.8,1
23607,price,rice,0.8,1
24101,reise,weise,0.8,1
