"","INST","COUNTRY","count"
"1"," Agriculture and Agri-Food","Canada",1
"2"," Arizona State University","USA",15
"3"," Arizona State University West","USA",3
"4"," Austrailan National University","Australia",1
"5"," Bangor University","UK",2
"6"," Bavarian Forest National Park","Germany",1
"7"," Boston University","USA",2
"8"," Brigham Young University","USA",5
"9"," British Trust for Ornithology","UK",1
"10"," Brown University","USA",6
"11"," Cardiff University","UK",1
"12"," Carnegie Museum of Natural History","USA",2
"13"," Case Western Reserve University","USA",1
"14"," CEC Lund","Sweden",1
"15"," CEH Banchory","UK",1
"16"," Centre for Ecology & Hydrology","UK",1
"17"," Centre for Ecology and Hydrology","UK",2
"18"," Centro de Ecologia","Venezuela",10
"19"," CISRO Sustainable Ecosystems","Australia",1
"20"," CNRS","France",1
"21"," Colorado Division of Wildlife","USA",1
"22"," Concordia University","Canada",2
"23"," Cornell University","USA",10
"24"," CSIC-UPV","Spain",3
"25"," CSIRO","Australia",1
"26"," CSIRO Marine and Atmospheric Research","Australia",1
"27"," Duke University","USA",6
"28"," Durham University","UK",1
"29"," Ecole Normale Sup<82>rieure","France",1
"30"," Ecole Normale Superieure","France",2
"31"," Finnish Environment Institute","Finland",1
"32"," Florida State University","USA",4
"33"," Gottingen University","Germany",1
"34"," Griffith University","Australia",1
"35"," Grinnell College","USA",1
"36"," Harvard Medical School","USA",1
"37"," Harvard University","USA",4
"38"," Harvard University Herbaria","USA",3
"39"," Henan University","China",1
"40"," Idaho State University","USA",4
"41"," IFREMER","France",1
"42"," Imperial College","UK",1
"43"," Imperial College London","UK",2
"44"," Indiana University","USA",7
"45"," INRA","French Guiana",1
"46"," Institute of Terrestrial Ecology","UK",1
"47"," Instituto de Pesquisa Ambiental da Amazonia","Brazil",1
"48"," Iowa State University","USA",5
"49"," Justus Liebig Universitat","Germany",1
"50"," Kewalo Marine Lab","USA",1
"51"," Lancaster University","UK",1
"52"," Landcare Research Ltd","New Zealand",1
"53"," Lincoln University","New Zealand",1
"54"," Louisiana State University","USA",9
"55"," Louisisana State University","USA",7
"56"," Ludwig-Maximilians-Universit<84>t M<81>nchen","Germany",2
"57"," Macaulay Institute","UK",1
"58"," Marshall Agroecology","UK",1
"59"," McGill University","Canada",8
"60"," McMaster University","Canada",3
"61"," Memorial University of Newfoundland","Canada",1
"62"," Michigan State University","USA",5
"63"," Museum fu_r Naturkunde","Germany",1
"64"," Museum of Comparative Zoology","USA",1
"65"," National Environmental Research Institute","Denmark",1
"66"," New Mexico State University","USA",5
"67"," Newcastle University","UK",2
"68"," NIOO","The Netherlands",1
"69"," North Carolina State University","USA",3
"70"," Northern Arizona University","USA",2
"71"," Northwestern University","USA",3
"72"," Oklahoma University","USA",1
"73"," Oxford University","United Kingdom",2
"74"," Pacific Agri-Food Research Centre","Canada",1
"75"," Pennsylvania State University","USA",1
"76"," Plymouth Marine Laboratory","UK",1
"77"," Portland State University","UK",1
"78"," Portland State University","USA",2
"79"," Princeton University","USA",2
"80"," Purdue University","USA",2
"81"," Queens University","Canada",1
"82"," Rice University","USA",2
"83"," Rothamsted Research","UK",1
"84"," Royal Holloway","United Kingdom",1
"85"," Royal Society for the Protection of Bitds","UK",1
"86"," Rutgers University","USA",7
"87"," San Francisco State University","USA",3
"88"," Sao Paulo State University","Brazil",1
"89"," Scottish Agricultural College","UK",1
"90"," Scottish Natural Heritage","UK",2
"91"," Simon Fraser University","Canada",4
"92"," Smith College","USA",4
"93"," Stanford University","USA",8
"94"," State University of New York at Stony Brook","USA",1
"95"," Stockholm Resilience Centre","Sweden",1
"96"," Sun Yat-Sen University","China",1
"97"," Swedish University of Agricultural Sciences","Sweden",3
"98"," Swiss Federal Institute of Technology Zurich","Switzerland",1
"99"," Syracuse University","USA",3
"100"," Teagasc","Ireland",1
"101"," Texas A&M University","USA",2
"102"," Texas State University","USA",3
"103"," The Macaulay Institute","UK",1
"104"," The University of Chicago","USA",8
"105"," The University of Southwestern Louisiana","USA",3
"106"," The University of Tenessee","USA",1
"107"," Univ. of Wisconsin-Milwaukee","USA",1
"108"," Universidad Nacional Aut<a2>noma de M<82>xico","Mexico",1
"109"," Universidad Politecnica de Madrid","Spain",1
"110"," Universit<82> Paris-Sud","France",2
"111"," Universite Pierre and Marie Curie","France",2
"112"," University College Cork","Ireland",1
"113"," University of Agricultural Sciences","Sweden",1
"114"," University of Alberta","Canada",6
"115"," University of Arizona","USA",25
"116"," University of Basel","Switzerland",3
"117"," University of Bayreuth","Germany",1
"118"," University of Bern","Switzerland",1
"119"," University of Bristol","UK",5
"120"," University of British Columbia","Canada",6
"121"," University of Calgary","Canada",1
"122"," University of California","USA",4
"123"," University of California at San Diego","USA",2
"124"," University of California- Berkeley","USA",1
"125"," University of California- Davis","USA",2
"126"," University of California- San Diego","USA",1
"127"," University of California-San Diego","USA",6
"128"," University of Canberra","Australia",1
"129"," University of Chicago","USA",6
"130"," University of Colorado","USA",1
"131"," University of Colorado- Boulder","USA",1
"132"," University of Connecticut","USA",2
"133"," University of Dundee","UK",1
"134"," University of East Anglia","UK",1
"135"," University of East Angolia","UK",1
"136"," University of Edinburgh","United Kingdom",1
"137"," University of Exeter","UK",1
"138"," University of Florida","USA",7
"139"," University of Georgia","USA",5
"140"," University of Guelph","Canada",3
"141"," University of Houston","USA",1
"142"," University of Illinois","USA",10
"143"," University of Illinois at Chicago","USA",3
"144"," University of Kansas","USA",6
"145"," University of Liverpool","UK",1
"146"," University of Maine","USA",3
"147"," University of Maryland","USA",11
"148"," University of Massachusetts Boston","USA",1
"149"," University of Melbourne","Australia",3
"150"," University of Michigan","USA",7
"151"," University of Minnesota","USA",4
"152"," University of Montana","USA",2
"153"," University of Nebraska","USA",1
"154"," University of New South Wales","Australia",2
"155"," University of New York","USA",1
"156"," University of Newcastle upon Tuyne","UK",1
"157"," University of North Carolina","USA",2
"158"," University of North Carolina-Chapel Hill","USA",3
"159"," University of Oregon","USA",4
"160"," University of Oslo","Norway",1
"161"," University of Otago","NewZealand",3
"162"," University of Oulu","Finland",3
"163"," University of Oxford","UK",2
"164"," University of Pittsburgh","USA",2
"165"," University of Plymouth","UK",1
"166"," University of Puerto Rico","PuertoRico",3
"167"," University of Queensland","Australia",4
"168"," University of Rochester","USA",9
