,1981,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,TOTAL MISSING
,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,1
AGRONOMY,,10,2,,1,1,1,1,1,,2,,1,1,,1,1,,1,1,,,,,3,,,,1,,1,,30
AJB,,1,0,,,,,,,,,2,,,,,,,,,,2,3,,,,,,1,,,,9
AMNAT,,2,0,,,,,13,6,,2,1,3,3,4,7,,4,10,10,5,1,56,16,11,18,11,6,4,4,13,5,215
AREES,,5,1,1,1,2,,1,1,1,2,1,1,1,,2,1,,3,,2,,,,,,,,,,,,26
BIOCON,,5,22,1,9,,2,3,2,,6,3,,4,7,,,3,,2,1,4,9,7,8,,1,4,4,7,6,,120
BITR,,,,,,,,,,22,,,7,2,,,,,,,,,,,,,,,,,,,31
ECOGRAPHY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
ECOLOGY,,,,,,,,,,,,,,,,,,,79,19,11,29,21,16,14,18,17,6,13,15,6,,264
EVOL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,53,53
FEM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
FUNECOL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
GCB,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,1
JANE,,6,,5,1,1,1,7,4,2,2,,1,6,2,2,1,3,1,,,4,17,1,8,15,6,4,5,3,10,,118
JAPE,,14,2,,7,3,1,,,2,,,7,2,,1,3,1,3,3,1,4,14,9,13,2,1,11,4,6,10,5,129
JBIOG,,17,,,2,,,11,,,,,,,,,,,1,,,1,1,2,5,2,4,2,,6,9,,63
JECOL,,10,2,4,3,1,2,8,4,,2,5,3,4,3,,4,,3,3,3,,,,,,,,,,,,64
JTE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
JZ,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
LECO,,,,18,2,,,,,10,,,,2,,,,,,,19,,,,,,,,1,,,54,106
MARECOL,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
NAJFM,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
OECOL,,13,2,1,1,1,6,5,5,,2,4,1,4,8,5,6,3,2,7,3,6,4,4,7,5,8,16,16,8,2,,155
OIKOS,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
PLANTECOL,,9,,1,2,1,,12,3,1,4,,1,6,5,,,3,3,3,1,3,2,6,3,1,1,6,11,5,16,,109
TOTAL MISSING,1,93,33,31,29,10,13,61,26,38,22,18,25,35,29,18,16,17,106,48,46,54,127,61,72,61,49,55,60,54,73,117,
