"","JOURNAL","YEAR","FIRST_NAME","MIDDLE_NAME","LAST_NAME","INST","COUNTRY","editor_id","UNIT","CITY","STATE"
"1","FUNECOL",2015,"David",NA,"Lusseau","Aberdeen","Scotland",NA,NA,NA,NA
"2","MARECOL",1985,NA,NA,NA,"Academy of Sciences of Russia","Russia",NA,NA,NA,NA
"3","NAJFM",2014,NA,NA,NA,"Hampton University","USA",NA,NA,NA,NA
"4","OIKOS",1990,NA,NA,NA,"Imperial College","England",NA,NA,NA,NA
"5","JZ",1995,NA,NA,NA,"(Retired)-Natural History Museum London","England",NA,NA,NA,NA
"6",NA,2012,NA,NA,NA,"Humboldt University Berlin","Germany",NA,NA,NA,NA
"7","GCB",2002,NA,NA,NA,"Blackwell Publishing","United Kingdom",NA,NA,NA,NA
"8","BITR",2002,"Lucinda",NA,"McDade","Acad Natural Science Philadelphia","USA",2203,NA,NA,NA
"9","BITR",2012,"Masresha",NA,"Fetene","Addis Ababa University","Ethiopia",2367,NA,NA,NA
"10","BITR",1998,"Nancy",NA,"Simmons","American Museum of Natural History","USA",2690,NA,NA,NA
"11","BITR",2008,"Beth",NA,"Kaplin","Antioch New England Graduate School and National University of Rwanda","Rwanda",300,NA,NA,NA
"12","BITR",2009,"Jagdish",NA,"Krishnaswamy","Ashoka Trust for Research in Ecology and the Environment Bangalore","India",1685,NA,NA,NA
"13","BITR",1998,"Craig",NA,"Guyer","Auburn University","USA",471,NA,NA,NA
"14","BITR",1997,"Whendee",NA,"Silver","Boston University","USA",3800,NA,NA,NA
"15","BITR",1997,"Nathaniel",NA,"Wheelwright","Bowdoin College","USA",2706,NA,NA,NA
"16","BITR",2011,"Axel",NA,"Poulsen","Boyal Botanic Gatdens Edinburgh","United Kingdom",170,NA,NA,NA
"17","BITR",1998,"Marina",NA,"Wong","Brunei Museum","Brunei",2616,NA,NA,NA
"18","BITR",2012,"Fred",NA,"Babweteera","Budongo Conservation Field Station","Uganda",1050,NA,NA,NA
"19","BITR",2012,"Terry",NA,"McGlynn","California State University-Dominguez Hills","USA",3601,NA,NA,NA
"20","BITR",1987,"Paul","W","Richards","Retired, No Affiliation Listed","United Kingdom",2906,NA,"Cambridge",NA
"21","BITR",2008,"Bryan",NA,"Finegan","CATIE Center for Tropical Agricultural Research and Education","Costa Rica",271,NA,NA,NA
"22","BITR",2009,"Donald",NA,"Franklin","Charles Darwin University Darwin","Australia",692,NA,NA,NA
"23","BITR",2005,"Manuel",NA,"Guariguata","CIFOR","Indonesia",2391,NA,NA,NA
"24","BITR",2012,"Saara",NA,"Dewalt","Clemson University","USA",3311,"Biological Sciences",NA,NA
"25","BITR",2014,"Saara",NA,"DeWalt","Clemson University","USA",3312,"Biological Sciences",NA,NA
"26","BITR",1998,"Alan",NA,"Covich","Colorado State University","USA",46,NA,NA,NA
"27","BITR",2012,"Maria",NA,"Uriarte","Columbia Universily","USA",2582,NA,NA,NA
"28","BITR",2005,"David",NA,"Westcott","Commonwealth Scientific and Industrial Research Organisation (CSIRO)","Australia",911,NA,NA,NA
"29","BITR",2012,"Frederieke",NA,"Kroon","Commonwealth Scientific and Industrial Research Organisation (CSIRO)","Australia",1094,NA,NA,NA
"30","BITR",1998,"John","ED","Fox","Curtin University of Technology","Australia",1576,NA,NA,NA
"31","BITR",2005,"Vojtech",NA,"Novotny","Czech Academy of Sciences","Czech Republic",3692,NA,NA,NA
