,JOURNAL,YEAR,VOLUME,ISSUE,TITLE,NAME,FIRST_NAME.x,MIDDLE_NAME.x,LAST_NAME.x,COUNTRY.x,GENDER,CATEGORY,NOTES,editor_id,source.x,FIRST_NAME.y,MIDDLE_NAME.y,LAST_NAME.y,INST,UNIT,CITY,STATE,COUNTRY.y,source.y,double.check
5,AGRONOMY,2008,100,1,SE,Lucas Borras,Lucas,,Borras,Argentina,M,SE,NA,2130,ChoDryad,Lucas,NA,Borras,National University of Rosario,NA,Fort Lauderdale,Florida,USA,SciWri17,country
6,AGRONOMY,2009,101,1,SE,Lucas Borras,Lucas,,Borras,Argentina,M,SE,NA,2130,ChoDryad,Lucas,NA,Borras,National University of Rosario,NA,Fort Lauderdale,Florida,USA,SciWri17,country
7,AGRONOMY,2010,102,1,SE,Lucas Borras,Lucas,,Borras,Argentina,M,SE,NA,2130,ChoDryad,Lucas,NA,Borras,National University of Rosario,NA,Fort Lauderdale,Florida,USA,SciWri17,country
8,AGRONOMY,2011,103,1,SE,Lucas Borras,Lucas,,Borras,Argentina,M,SE,NA,2130,ChoDryad,Lucas,NA,Borras,National University of Rosario,NA,Fort Lauderdale,Florida,USA,SciWri17,country
9,AGRONOMY,2012,104,1,SE,Lucas Borras,Lucas,,Borras,Argentina,M,SE,NA,2130,ChoDryad,Lucas,NA,Borras,National University of Rosario,NA,Fort Lauderdale,Florida,USA,SciWri17,country
10,AGRONOMY,2013,105,1,SE,Lucas Borras,Lucas,,Borras,Argentina,M,SE,NA,2130,ChoDryad,Lucas,NA,Borras,National University of Rosario,NA,Fort Lauderdale,Florida,USA,SciWri17,country
114,JAPE,2015,52,1,Associate.Editor,Claudia Bieber,Claudia,,Bieber,Australia,NA,SE,,399,EspinDryad,Claudia,NA,Bieber,University of Veterinary Medicine,NA,NA,NA,Austria,SciWri17,country
142,PLANTECOL,2013,214,1,Editorial.Board,Christopher H Lusk,Christopher,H,Lusk,Australia,NA,SE,,515,EspinDryad,Christopher,H,Lusk,University of Waikato,NA,Hamilton,NA,New Zealand,SciWri17,country
61,JTE,1999,15,1,SE,Rene GA Boot,Rene,GA,Boot,Bolivia,M,SE,NA,2990,ChoDryad,Rene,GA,Boot,Tropenbos International,NA,NA,Wagen,Netherlands,SciWri17,country
63,JTE,2000,16,1,SE,Rene GA Boot,Rene,GA,Boot,Bolivia,M,SE,NA,2990,ChoDryad,Rene,GA,Boot,Tropenbos International,NA,NA,Wagen,Netherlands,SciWri17,country
115,JAPE,2015,52,1,Associate.Editor,Jin-tian Li,Jin-tian,,Li,Chile,NA,SE,,1712,EspinDryad,Jin-tian,NA,Li,Sun Yat Sen University,NA,NA,NA,China,SciWri17,country
118,LECO,2012,27,1,Editorial.Board,B Fu,B,,Fu,China,NA,SE,NA,275,EspinDryad,B,NA,Fu,Chinese Academy of Sciences,NA,Beijing,NA,P.R. China,SciWri17,country
119,LECO,2013,27,1,Editorial.Board,B Fu,B,,Fu,China,NA,SE,NA,275,EspinDryad,B,NA,Fu,Chinese Academy of Sciences,NA,Beijing,NA,P.R. China,SciWri17,country
120,LECO,2014,29,1,Editorial.Board,B Fu,B,,Fu,China,NA,SE,NA,275,EspinDryad,B,NA,Fu,Chinese Academy of Sciences,NA,Beijing,NA,P.R. China,SciWri17,country
71,AMNAT,2015,186,1,Editorial.Board,Vlastimil Krivan,Vlastimil,,Krivan,Czech Republic,NA,SE,NA,3690,EspinDryad,Vlastimil,NA,Krivan,NA,NA,NA,NA,Czech Republicch Republic,SciWri17,country
76,EVOL,2009,63,NA,AE,Sylvain Gandon,Sylvain,,Gandon,Finland,NA,SE,NA,3335,EspinDryad,Sylvain,NA,Gandon,CNRS Centre dEcologie Fonctionnelle et Evolutive,,Montpellier,Occitanie,France,SciWri17,country
77,EVOL,2010,64,NA,AE,Sylvain Gandon,Sylvain,,Gandon,Finland,NA,SE,NA,3335,EspinDryad,Sylvain,NA,Gandon,CNRS Centre dEcologie Fonctionnelle et Evolutive,,Montpellier,Occitanie,France,SciWri17,country
78,EVOL,2011,65,NA,AE,Sylvain Gandon,Sylvain,,Gandon,Finland,NA,SE,NA,3335,EspinDryad,Sylvain,NA,Gandon,CNRS Centre dEcologie Fonctionnelle et Evolutive,,Montpellier,Occitanie,France,SciWri17,country
116,JAPE,2015,52,1,Associate.Editor,Yann Clough,Yann,,Clough,Germany,NA,SE,,3833,EspinDryad,Yann,NA,Clough,CEC Lund,NA,NA,NA,Sweden,SciWri17,country
112,JAPE,2005,42,1,Editorial.Board,Robert J Paxton,Robert,J,Paxton,Germany,NA,SE,,3187,EspinDryad,Robert,J,Paxton,University of Tubingen,,Belfast,NA,United Kingdom,SciWri17,country
67,AGRONOMY,1985,77,1,Associate.Editor,P LG Vlek,P,LG,Vlek,Germany,NA,SE,,2947,EspinDryad,P,LG,Vlek,University of Bonn,Center of Development Research(ZEF),Bonn,NA,USA,SciWri17,country
85,FEM,1994,63,1,Editorial.Advisory.Board,Dennis P Dykstra,Dennis,P,Dykstra,Indonesia,NA,SE,NA,677,EspinDryad,Dennis,P,Dykstra,Food and Agriculture Organization,,Rome,NA,Italy,SciWri17,country
70,AGRONOMY,2014,106,1,AE,Saeid Soufizadeh,Saeid,,Soufizadeh,Iran,NA,SE,,3477,EspinDryad,Saeid,NA,Soufizadeh,Shahid Beheshti University,"Dep. of Agroecology, Environ. Sci. Res. Inst.",Tehran,NA,IRAN,SciWri17,country
36,BIOCON,2004,115,1,EB,AW Fabio Cassola,AW,Fabio,Cassola,Italy,M,SE,,34,ChoDryad,AW,Fabio,Cassola,NA,NA,NA,NA,ITALY,SciWri17,country
83,FEM,1993,56,1,Editorial.Advisory.Board,D Paul Dijkstra,D,Paul,Dijkstra,Italy,NA,SE,NA,669,EspinDryad,D,Paul,Dijkstra,Northern Arizona University,NA,Flagstaff,Arizona,USA,SciWri17,country
79,FEM,1989,27,1,Editorial.Advisory.Board,Jumanne A Maghembe,Jumanne,A,Maghembe,Malawi,NA,SE,NA,1735,EspinDryad,Jumanne,A,Maghembe,International Center for Research in Agroforestry,,Nairobi,NA,Kenya,SciWri17,country
80,FEM,1990,30,1,Editorial.Advisory.Board,Jumanne A Maghembe,Jumanne,A,Maghembe,Malawi,NA,SE,NA,1735,EspinDryad,Jumanne,A,Maghembe,International Center for Research in Agroforestry,,Nairobi,NA,Kenya,SciWri17,country
81,FEM,1991,40,1,Editorial.Advisory.Board,Jumanne A Maghembe,Jumanne,A,Maghembe,Malawi,NA,SE,NA,1735,EspinDryad,Jumanne,A,Maghembe,International Center for Research in Agroforestry,,Nairobi,NA,Kenya,SciWri17,country
82,FEM,1992,47,1,Editorial.Advisory.Board,Jumanne A Maghembe,Jumanne,A,Maghembe,Malawi,NA,SE,NA,1735,EspinDryad,Jumanne,A,Maghembe,International Center for Research in Agroforestry,,Nairobi,NA,Kenya,SciWri17,country
84,FEM,1993,56,1,Editorial.Advisory.Board,Jumanne A Maghembe,Jumanne,A,Maghembe,Malawi,NA,SE,NA,1735,EspinDryad,Jumanne,A,Maghembe,International Center for Research in Agroforestry,,Nairobi,NA,Kenya,SciWri17,country
86,FEM,1994,63,1,Editorial.Advisory.Board,Jumanne A Maghembe,Jumanne,A,Maghembe,Malawi,NA,SE,NA,1735,EspinDryad,Jumanne,A,Maghembe,International Center for Research in Agroforestry,,Nairobi,NA,Kenya,SciWri17,country
87,FEM,1995,71,1,Editorial.Advisory.Board,Jumanne A Maghembe,Jumanne,A,Maghembe,Malawi,NA,SE,NA,1735,EspinDryad,Jumanne,A,Maghembe,International Center for Research in Agroforestry,,Nairobi,NA,Kenya,SciWri17,country
88,FEM,1996,80,1,Editorial.Advisory.Board,Jumanne A Maghembe,Jumanne,A,Maghembe,Malawi,NA,SE,NA,1735,EspinDryad,Jumanne,A,Maghembe,International Center for Research in Agroforestry,,Nairobi,NA,Kenya,SciWri17,country
89,FEM,1997,90,1,Editorial.Advisory.Board,Jumanne A Maghembe,Jumanne,A,Maghembe,Malawi,NA,SE,NA,1735,EspinDryad,Jumanne,A,Maghembe,International Center for Research in Agroforestry,,Nairobi,NA,Kenya,SciWri17,country
90,FEM,1998,100,1,Editorial.Advisory.Board,Jumanne A Maghembe,Jumanne,A,Maghembe,Malawi,NA,SE,NA,1735,EspinDryad,Jumanne,A,Maghembe,International Center for Research in Agroforestry,,Nairobi,NA,Kenya,SciWri17,country
91,FEM,1999,113,1,Editorial.Advisory.Board,Jumanne A Maghembe,Jumanne,A,Maghembe,Malawi,NA,SE,NA,1735,EspinDryad,Jumanne,A,Maghembe,International Center for Research in Agroforestry,,Nairobi,NA,Kenya,SciWri17,country
92,FEM,2000,125,1,Editorial.Advisory.Board,Jumanne A Maghembe,Jumanne,A,Maghembe,Malawi,NA,SE,NA,1735,EspinDryad,Jumanne,A,Maghembe,International Center for Research in Agroforestry,,Nairobi,NA,Kenya,SciWri17,country
93,FEM,2001,140,1,Editorial.Advisory.Board,Jumanne A Maghembe,Jumanne,A,Maghembe,Malawi,NA,SE,NA,1735,EspinDryad,Jumanne,A,Maghembe,International Center for Research in Agroforestry,,Nairobi,NA,Kenya,SciWri17,country
18,CONBIO,2008,22,1,SE,Jon Paul Rodriguez,Jon,Paul,Rodriguez,Mexico,M,SE,NA,1839,ChoDryad,Jon,Paul,Rodriguez,Instituto Venezolano Investigaciones Cientificas,,Altos de Pipe,Miranda,Venezuela,SciWri17,country
19,CONBIO,2009,23,1,SE,Jon Paul Rodriguez,Jon,Paul,Rodriguez,Mexico,M,SE,NA,1839,ChoDryad,Jon,Paul,Rodriguez,NA,NA,NA,NA,Venezuela,SciWri17,country
