INST,INST_CORRECTED,UNIT,INST_SECONDARY,NOTES
(Retired) Natural History Museum London,Unaffiliated,,,
Aarhus University,,,,
Aberdeen,University of Aberdeen,,,
Aberdeen University,University of Aberdeen,,,
Academica Sinica,Academia Sinica,,,
Academy of Natural Science Philadelphia,,,,
Academy of Sciences of Russia,Russian Academy of Sciences,,,
Addis Ababa University,,,,
Africa Plant Seeds International,,,,
African Agricultural Technology Foundation,,,,
AgResearch,AgResearch Ltd,,,
AgResearch Ltd,,,,
Agricultural Institute Osijek,,,,
Agricultural Research Center,,,,
Agricultural University,Wageningen University and Research,,,
Agricultural University of Norway,,,,
Agricultural University Wageningen,Wageningen University and Research,,,
Agriculture and Agri Food Canada,,,,govt agency
Agrium Advanced Technologies,,,,private sector
Alaska Department of Fish and Game,,,,
Alterra,,,,private sector
American Museum of Natural History,,,,
Analytics Iowa Soybean Association,Iowa Soybean Association,Analytics,,private sector
Antioch New England Graduate School and National University of Rwanda,Antioch New England,Graduate School,National University of Rwanda,
ANUTECH Australian National University,ANUTECH,,Australian National University,private sector
Appalachian Environmental Laboratory,University of Maryland Center for Environmental Science,Appalachian Environmental Laboratory,,UMCES is one of 12 institutions within the University System of Maryland.
Appalachian State University,,,,
Applied Biomathematics,,,,
Archbold Biological Station,,,,
Archipelago Consulting,,,,
Argonne National Laboratory,,,,
Arizona State University,,,,
Arizona State University West Campus,,,,
ART Research Station,Agroscope Reckenholz-Tanikon Research Station,,,"location should be ""switzerland"", not netherlands"
ASA CSSA SSSA,,,,
Ashoka Trust for Research in Ecology and the Environment,,,,
Auburn University,,,,
Austral Center for Scientific Research,Centro Austral de Investigaciones Cientificas,,,
Australian Institute of Marine Science,,,,
Australian International Development Bureau,,,,
Australian National Parks and Wildlife Service,,,,
Australian National University,,,,
Australian Research Center for Urban Ecology,,,,
Austrian Research Centre for Forests (BFW),Austrian Research Centre for Forests,,,
Bangor University,,,,
BASF Plant Science,,,,private sector
Bavarian Forest National Park,,,,
Bayer CropScience,,,,
Baylor University,,,,
BBL Inc,,,,
Beaverlodge res farm,Beverlodge Research Farm,,,
Beijer International Institute of Ecological Economics,,,,
Beijing Forestry University,,,,
Beijing Normal University,,,,
Ben Gurion University of the Negev,,,,
Bennington College,,,,
Berea College,,,,
Bidhan Chandra Krishi Viswavid,,,,
Biological Dynamics of Forest Fragments Project,,,,
Biological Station Wijster,,,,
Birdlife International,,,,
Blackwell Publishing,,,,
Bodega Marine Laboratory,University of California Davis,Bodega Marine Laboratory,,
Boston University,,,,
Boston University Marine Program,Boston University,Marine Program,,
Botanical Museum,University Botanical Garden,,,
Botanical Society of America,,,,
Bournemouth University,,,,
Bowdoin College,,,,
Bowling Green State University,,,,
Boyal Botanic Gatdens Edinburgh,Boyal Botanic Gardens Edinburgh,,,
Brazilian Agricultural Research Corporation CIRAD,Empresa Brasileira de Pesquisa Agropecuária,,CIRAD,
Brigham Young University,,,,
British Antartic Survey,,,,
British Trust for Ornithology,,,,
Brock University,,,,
Brown University,,,,
Brunei Museum,,,,
Budongo Conservation Field Station,,,,
Buenos Aires Futures and Options Exchange,,,,
California Academy of Sciences,,,,
California State University,California State University Fresno,,,
California State University Bakersfield,,,,
California State University Dominguez Hills,,,,
California State University Fresno,,,,
Calyx Inc,,,,
Cambridge University,,,,
Canadian Forest Products Ltd,,,,
Canadian Forest Service,,,,
Carl von  University,,,,
Carl von  University Oldenburg,Carl von Ossietzky Universitat Oldenburg,,,
Carleton University,,,,
Carnegie Institution of Washington,,,,
Carnegie Museum of Natural History,,,,
Cary Institute of Ecosystem Studies,,,,
Case Western Reserve University,,,,
Center for Energy and Environmental Research,,,,
Center for Humans and Nature,,,,
Center for International Forestry Research CIFOR,Center for International Forestry Research,,,
Center for Tropical Agricultural Research and Education,,,,
